configuration,status,detail
"Linux x86-64 22.1.8 Release",executed-pass,"35/35 tests"
"Linux x86-64 GCC 16 Release",executed-pass,"35/35 tests"
"Linux x86-64 Clang forced portable",executed-pass,"35/35 tests"
"Linux x86-64 Clang portable, __SIZEOF_INT128__ undefined",executed-pass,"35/35 tests"
"Linux x86-64 Clang ASan+UBSan native",executed-pass,"35/35 tests"
"Linux x86-64 Clang ASan+UBSan forced portable",executed-pass,"35/35 tests"
"Linux x86-64 Clang shared library",executed-pass,"35/35 tests"
"Linux x86-64 Clang no-exceptions / no-RTTI library",executed-pass,"library builds; no test binaries in this configuration"
"CMake install + external find_package consumer",executed-pass,"consumer printed 124.980946885266"
"Linux x86-64 Clang 17 (ubuntu:24.04 container) Release",executed-pass,"23/23 tests; rebuild with scripts/docker_bench.sh"
"Linux x86-64 Clang 17 paired performance vs 0.4",executed-pass,"100 rows; 14 exceed the gate, reported per row"
"Linux x86-64 Clang 18 paired performance vs 0.4",executed-pass,"100 rows; 13 exceed the gate, reported per row"
"Linux x86-64 Clang 22 paired performance vs 0.4",executed-pass,"100 rows; 25 exceed the gate, reported per row"
"Linux x86-64 GCC paired performance vs 0.4",not-applicable,"0.4 requires C++ _BitInt(256) and will not configure under GCC; no paired GCC row can exist without modifying the baseline"
"Linux AArch64 on real hardware (Pixel 6, static cross build)",executed-pass,"17/17 test binaries; correctness only, no timings taken from a phone"
"Clang libFuzzer under ASan+UBSan",executed-pass,"50,000,000 executions, no crash and no sanitizer diagnostic"
"Competitor benchmark from a clean checkout",executed-pass,"decimal_for_cpp, CNL, fpm, Boost.Decimal, mpdecimal, Boost.Multiprecision; 167,938 output validations passed"
"Compile-time measurement versus 0.4",executed-pass,"fixed.hpp +28.6%, arithmetic.hpp +41.2%, chars.hpp +14.3% on Clang 22"
"Linux x86-64 GCC 14 CI (Release)",executed-pass,"CI job "linux gcc-14 Release": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Linux x86-64 GCC 14 CI (Debug)",executed-pass,"CI job "linux gcc-14 Debug": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Linux x86-64 Clang 18 + libc++ CI (Release)",executed-pass,"CI job "linux clang-18-libc++ Release": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Linux AArch64 CI (ubuntu-24.04-arm)",executed-pass,"CI job "linux arm64 g++-14": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"macOS arm64 (macos-14)",executed-pass,"CI job "macos macos-14": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"macOS arm64 (macos-15)",executed-pass,"CI job "macos macos-15": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Windows x64 MSVC",executed-pass,"CI job "windows msvc": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Windows x64 clang-cl",executed-pass,"CI job "windows clang-cl": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Conan package + test_package",executed-pass,"CI job "conan create": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Instruction-count regression gate",executed-pass,"CI job "instruction-count regression gate": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Clang libFuzzer smoke run (CI)",executed-pass,"CI job "fuzz smoke": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Coverage instrumentation (CI)",executed-pass,"CI job "coverage": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
"Windows ARM64",not-configured,"no runner configured; not claimed as supported"
"Big-endian (s390x, emulated)",executed-pass,"CI job "big-endian (s390x)": https://github.com/samiisd/fixedwide/actions/runs/33955737754"
