backend,name,iterations,repetitions,min_ns,median_ns,p95_ns,max_ns,samples_ns
native,Fixed64.d8.quote.nearest_even.midpoint,1048576,11,0.876136,0.957842,1.012101,1.220547,1.220547;0.890882;0.954318;0.876136;0.992731;0.908340;1.012101;0.906211;0.962455;0.957842;0.991414
native,Fixed64.d8.quote.nearest_even.widened,1048576,11,31.325512,32.509345,34.863164,35.522305,33.263144;31.325512;32.956372;32.446625;32.509345;31.922811;35.522305;32.148058;32.590404;34.863164;32.085499
native,Fixed64.d8.quote.nearest_even.native128,1048576,11,1.668786,1.721431,1.768966,1.782766,1.782766;1.738336;1.686255;1.668786;1.679226;1.721431;1.693886;1.729033;1.736568;1.768966;1.682634
native,Fixed64.d12.quote.nearest_even.midpoint,1048576,11,0.853461,0.871236,0.919868,1.083341,0.871236;0.858628;0.853461;1.083341;0.896899;0.868151;0.862373;0.919868;0.893441;0.878170;0.870739
native,Fixed64.d12.quote.nearest_even.widened,1048576,11,30.777893,31.022901,31.265110,31.413490,30.871490;31.077732;30.777893;31.022901;30.966589;30.824415;30.805591;31.413490;31.244079;31.240115;31.265110
native,Fixed64.d12.quote.nearest_even.native128,1048576,11,1.659819,1.692903,1.771888,1.784075,1.686312;1.696961;1.718012;1.784075;1.692903;1.702243;1.681452;1.771888;1.687496;1.687974;1.659819
native,Fixed128.d12.quote.nearest_even.midpoint,1048576,11,1.973352,1.990611,1.995711,1.997469,1.993218;1.995711;1.975502;1.989646;1.997469;1.990354;1.990611;1.990954;1.987669;1.973352;1.992569
native,Fixed128.d12.quote.nearest_even.widened,1048576,11,31.981415,33.651365,35.085327,45.587945,31.981415;35.085327;32.754964;33.173748;33.898179;33.124237;33.651365;45.587945;34.443062;34.375042;33.474973
native,Fixed256.d12.quote.nearest_even.midpoint,1048576,11,12.256799,12.401083,12.497289,12.508712,12.298459;12.303044;12.256799;12.302614;12.489218;12.465886;12.276274;12.508712;12.401083;12.455838;12.497289
portable,Fixed64.d8.quote.nearest_even.midpoint,1048576,11,0.846929,0.899076,0.952608,1.141524,0.862276;0.846929;1.141524;0.868589;0.910719;0.905905;0.899076;0.870194;0.952608;0.879382;0.899783
portable,Fixed64.d8.quote.nearest_even.widened,1048576,11,84.573942,85.216256,86.793997,86.972808,84.926606;84.681808;86.296022;86.007482;84.587704;84.573942;84.865377;86.972808;85.347552;85.216256;86.793997
portable,Fixed64.d8.quote.nearest_even.native128,1048576,11,1.678531,1.713964,1.757887,1.980633,1.678531;1.757887;1.730639;1.980633;1.713964;1.717212;1.684279;1.706905;1.690459;1.730534;1.678826
portable,Fixed64.d12.quote.nearest_even.midpoint,1048576,11,0.838400,0.866450,0.910270,0.968769,0.894664;0.852716;0.853623;0.870682;0.910270;0.866450;0.851294;0.864044;0.838400;0.968769;0.869955
portable,Fixed64.d12.quote.nearest_even.widened,1048576,11,86.463124,88.560142,90.219749,90.599227,88.546378;88.560142;90.219749;89.011642;90.599227;86.463124;86.963024;86.471398;89.101200;89.560128;87.801900
portable,Fixed64.d12.quote.nearest_even.native128,1048576,11,1.650286,1.757532,1.802306,2.018375,1.769279;2.018375;1.802306;1.759976;1.757532;1.708985;1.714916;1.710264;1.650286;1.794857;1.708889
portable,Fixed128.d12.quote.nearest_even.midpoint,1048576,11,1.992658,2.003641,2.085091,2.088233,2.001569;2.023516;2.003641;1.992658;1.996240;1.994263;2.085091;2.088233;2.031224;2.027146;2.003555
portable,Fixed128.d12.quote.nearest_even.widened,1048576,11,89.316775,90.801778,95.764729,101.049752,91.770586;90.801778;89.316775;90.395437;90.582720;94.752470;89.714063;89.431892;95.764729;92.397213;101.049752
portable,Fixed256.d12.quote.nearest_even.midpoint,1048576,11,12.283037,12.694468,13.164466,13.241121,12.606400;12.387954;13.164466;12.797313;13.241121;13.132461;12.832527;12.283037;12.457140;12.694468;12.563975
