label,workload,mode,category,n_base,n_curr,baseline_ns,current_ns,delta_pct,limit_pct,verdict
alpha3-clang17,exact_chain.FP128.div,nearest_even,common,27,27,4.0508,3.8847,-4.10,3.0,PASS
alpha3-clang17,exact_chain.FP128.div,toward_zero,common,27,27,4.1403,3.9015,-5.77,3.0,PASS
alpha3-clang17,exact_chain.FP128.mul,nearest_even,common,27,27,3.6820,3.8432,+4.38,3.0,FAIL
alpha3-clang17,exact_chain.FP128.mul,toward_zero,common,27,27,3.6721,3.7732,+2.75,3.0,PASS
alpha3-clang17,exact_chain.FP128.mul_div,nearest_even,common,27,27,3.7938,3.7972,+0.09,3.0,PASS
alpha3-clang17,exact_chain.FP128.mul_div,toward_zero,common,27,27,3.7718,3.8058,+0.90,3.0,PASS
alpha3-clang17,exact_chain.FP64.div,nearest_even,common,27,27,3.7109,3.7537,+1.15,3.0,PASS
alpha3-clang17,exact_chain.FP64.div,toward_zero,common,27,27,3.7012,3.9246,+6.04,3.0,FAIL
alpha3-clang17,exact_chain.FP64.mul,nearest_even,common,27,27,3.6413,3.6733,+0.88,3.0,PASS
alpha3-clang17,exact_chain.FP64.mul,toward_zero,common,27,27,3.6861,3.6843,-0.05,3.0,PASS
alpha3-clang17,exact_chain.FP64.mul_div,nearest_even,common,27,27,3.7233,3.7573,+0.91,3.0,PASS
alpha3-clang17,exact_chain.FP64.mul_div,toward_zero,common,27,27,3.6968,3.8024,+2.86,3.0,PASS
alpha3-clang17,exact_results.FP128.div,nearest_even,common,27,27,2.4582,2.4724,+0.58,3.0,PASS
alpha3-clang17,exact_results.FP128.div,toward_zero,common,27,27,2.5743,2.4390,-5.26,3.0,PASS
alpha3-clang17,exact_results.FP128.mul,nearest_even,common,27,27,2.5323,2.5985,+2.61,3.0,PASS
alpha3-clang17,exact_results.FP128.mul,toward_zero,common,27,27,2.6719,2.6527,-0.72,3.0,PASS
alpha3-clang17,exact_results.FP128.mul_div,nearest_even,common,27,27,3.0058,3.4215,+13.83,3.0,FAIL
alpha3-clang17,exact_results.FP128.mul_div,toward_zero,common,27,27,2.9100,2.9835,+2.53,3.0,PASS
alpha3-clang17,exact_results.FP64.div,nearest_even,common,27,27,2.6103,2.5636,-1.79,3.0,PASS
alpha3-clang17,exact_results.FP64.div,toward_zero,common,27,27,2.5668,2.5288,-1.48,3.0,PASS
alpha3-clang17,exact_results.FP64.mul,nearest_even,common,27,27,2.6587,2.6349,-0.90,3.0,PASS
alpha3-clang17,exact_results.FP64.mul,toward_zero,common,27,27,2.6228,2.5182,-3.99,3.0,PASS
alpha3-clang17,exact_results.FP64.mul_div,nearest_even,common,27,27,2.5678,2.5225,-1.76,3.0,PASS
alpha3-clang17,exact_results.FP64.mul_div,toward_zero,common,27,27,2.6046,2.5001,-4.01,3.0,PASS
alpha3-clang17,format_2digits.FP128,nearest_even,text,27,27,15.7424,27.6930,+75.91,5.0,FAIL
alpha3-clang17,format_2digits.FP128,toward_zero,text,27,27,14.3540,20.0821,+39.91,5.0,FAIL
alpha3-clang17,format_2digits.FP64,nearest_even,text,27,27,15.9405,22.7701,+42.84,5.0,FAIL
alpha3-clang17,format_2digits.FP64,toward_zero,text,27,27,14.6115,19.0172,+30.15,5.0,FAIL
alpha3-clang17,fullrange.FP64.mul_wide,nearest_even,common,27,27,3.0933,2.5291,-18.24,3.0,PASS
alpha3-clang17,fullrange.FP64.mul_wide,toward_zero,common,27,27,2.5216,2.8707,+13.84,3.0,FAIL
alpha3-clang17,halfway_ties.FP128.div,nearest_even,common,27,27,3.2911,3.2539,-1.13,3.0,PASS
alpha3-clang17,halfway_ties.FP128.div,toward_zero,common,27,27,2.6478,2.4714,-6.66,3.0,PASS
alpha3-clang17,halfway_ties.FP128.mul,nearest_even,common,27,27,2.4815,2.9906,+20.52,3.0,FAIL
alpha3-clang17,halfway_ties.FP128.mul,toward_zero,common,27,27,2.6863,2.6633,-0.86,3.0,PASS
alpha3-clang17,halfway_ties.FP128.mul_div,nearest_even,common,27,27,4.5798,4.5219,-1.26,3.0,PASS
alpha3-clang17,halfway_ties.FP128.mul_div,toward_zero,common,27,27,2.8895,2.9789,+3.09,3.0,FAIL
alpha3-clang17,halfway_ties.FP64.div,nearest_even,common,27,27,2.4235,2.5232,+4.11,3.0,FAIL
alpha3-clang17,halfway_ties.FP64.div,toward_zero,common,27,27,2.5838,2.5466,-1.44,3.0,PASS
alpha3-clang17,halfway_ties.FP64.mul,nearest_even,common,27,27,2.6106,2.6833,+2.79,3.0,PASS
alpha3-clang17,halfway_ties.FP64.mul,toward_zero,common,27,27,2.6262,2.5188,-4.09,3.0,PASS
alpha3-clang17,halfway_ties.FP64.mul_div,nearest_even,common,27,27,2.4231,2.7245,+12.44,3.0,FAIL
alpha3-clang17,halfway_ties.FP64.mul_div,toward_zero,common,27,27,2.6264,2.5068,-4.55,3.0,PASS
alpha3-clang17,inexact_chain.FP128.div,nearest_even,common,27,27,5.1800,5.0478,-2.55,3.0,PASS
alpha3-clang17,inexact_chain.FP128.div,toward_zero,common,27,27,4.1368,3.8954,-5.83,3.0,PASS
alpha3-clang17,inexact_chain.FP128.mul,nearest_even,common,27,27,4.6883,7.6930,+64.09,3.0,FAIL
alpha3-clang17,inexact_chain.FP128.mul,toward_zero,common,27,27,3.6715,3.8114,+3.81,3.0,FAIL
alpha3-clang17,inexact_chain.FP128.mul_div,nearest_even,common,27,27,4.9252,4.9087,-0.34,3.0,PASS
alpha3-clang17,inexact_chain.FP128.mul_div,toward_zero,common,27,27,3.7709,3.8015,+0.81,3.0,PASS
alpha3-clang17,inexact_chain.FP64.div,nearest_even,common,27,27,4.8686,4.9315,+1.29,3.0,PASS
alpha3-clang17,inexact_chain.FP64.div,toward_zero,common,27,27,3.6970,3.8971,+5.41,3.0,FAIL
alpha3-clang17,inexact_chain.FP64.mul,nearest_even,common,27,27,4.6329,4.6166,-0.35,3.0,PASS
alpha3-clang17,inexact_chain.FP64.mul,toward_zero,common,27,27,3.6832,3.6849,+0.05,3.0,PASS
alpha3-clang17,inexact_chain.FP64.mul_div,nearest_even,common,27,27,4.8198,4.9509,+2.72,3.0,PASS
alpha3-clang17,inexact_chain.FP64.mul_div,toward_zero,common,27,27,3.6995,3.8019,+2.77,3.0,PASS
alpha3-clang17,native_by128.FP128.div,nearest_even,wide,27,27,10.2833,11.0603,+7.56,5.0,FAIL
alpha3-clang17,native_by128.FP128.div,toward_zero,wide,27,27,8.5413,11.1495,+30.54,5.0,FAIL
alpha3-clang17,native_by64.FP128.div,nearest_even,wide,27,27,6.3904,10.0978,+58.01,5.0,FAIL
alpha3-clang17,native_by64.FP128.div,toward_zero,wide,27,27,4.0686,4.0289,-0.97,5.0,PASS
alpha3-clang17,parse_extra_digit.FP128,nearest_even,text,27,27,33.1796,36.2407,+9.23,5.0,FAIL
alpha3-clang17,parse_extra_digit.FP128,toward_zero,text,27,27,32.8269,34.5394,+5.22,5.0,FAIL
alpha3-clang17,parse_extra_digit.FP64,nearest_even,text,27,27,33.0883,36.5917,+10.59,5.0,FAIL
alpha3-clang17,parse_extra_digit.FP64,toward_zero,text,27,27,32.6329,34.7617,+6.52,5.0,FAIL
alpha3-clang17,throughput256.FP128.div,nearest_even,common,27,27,3.2929,3.2824,-0.32,3.0,PASS
alpha3-clang17,throughput256.FP128.div,toward_zero,common,27,27,2.5276,2.3823,-5.75,3.0,PASS
alpha3-clang17,throughput256.FP128.mul,nearest_even,common,27,27,2.4852,2.6009,+4.66,3.0,FAIL
alpha3-clang17,throughput256.FP128.mul,toward_zero,common,27,27,2.6996,2.6758,-0.88,3.0,PASS
alpha3-clang17,throughput256.FP128.mul_div,nearest_even,common,27,27,4.5585,4.4984,-1.32,3.0,PASS
alpha3-clang17,throughput256.FP128.mul_div,toward_zero,common,27,27,2.8821,3.0115,+4.49,3.0,FAIL
alpha3-clang17,throughput256.FP64.div,nearest_even,common,27,27,2.3850,2.5412,+6.55,3.0,FAIL
alpha3-clang17,throughput256.FP64.div,toward_zero,common,27,27,2.4492,2.4422,-0.29,3.0,PASS
alpha3-clang17,throughput256.FP64.mul,nearest_even,common,27,27,2.6751,2.6980,+0.86,3.0,PASS
alpha3-clang17,throughput256.FP64.mul,toward_zero,common,27,27,2.6273,2.5254,-3.88,3.0,PASS
alpha3-clang17,throughput256.FP64.mul_div,nearest_even,common,27,27,2.4023,2.7142,+12.98,3.0,FAIL
alpha3-clang17,throughput256.FP64.mul_div,toward_zero,common,27,27,2.5921,2.4945,-3.77,3.0,PASS
alpha3-clang17,throughput4096.FP128.div,nearest_even,common,27,27,3.2796,3.2788,-0.02,3.0,PASS
alpha3-clang17,throughput4096.FP128.div,toward_zero,common,27,27,2.5047,2.3871,-4.70,3.0,PASS
alpha3-clang17,throughput4096.FP128.mul,nearest_even,common,27,27,2.4858,2.6184,+5.33,3.0,FAIL
alpha3-clang17,throughput4096.FP128.mul,toward_zero,common,27,27,2.7018,2.6697,-1.19,3.0,PASS
alpha3-clang17,throughput4096.FP128.mul_div,nearest_even,common,27,27,4.5731,4.4952,-1.70,3.0,PASS
alpha3-clang17,throughput4096.FP128.mul_div,toward_zero,common,27,27,2.8901,2.9973,+3.71,3.0,FAIL
alpha3-clang17,throughput4096.FP128.quantize4,nearest_even,common,27,27,7.3444,10.0153,+36.37,3.0,FAIL
alpha3-clang17,throughput4096.FP128.quantize4,toward_zero,common,27,27,6.2143,5.8017,-6.64,3.0,PASS
alpha3-clang17,throughput4096.FP64.div,nearest_even,common,27,27,2.3923,2.5300,+5.75,3.0,FAIL
alpha3-clang17,throughput4096.FP64.div,toward_zero,common,27,27,2.4348,2.4352,+0.02,3.0,PASS
alpha3-clang17,throughput4096.FP64.mul,nearest_even,common,27,27,2.6476,2.7120,+2.43,3.0,PASS
alpha3-clang17,throughput4096.FP64.mul,toward_zero,common,27,27,2.6423,2.5423,-3.78,3.0,PASS
alpha3-clang17,throughput4096.FP64.mul_div,nearest_even,common,27,27,2.4103,2.7162,+12.69,3.0,FAIL
alpha3-clang17,throughput4096.FP64.mul_div,toward_zero,common,27,27,2.6014,2.4967,-4.02,3.0,PASS
alpha3-clang17,throughput4096.FP64.mul_wide,nearest_even,common,27,27,2.3807,2.5507,+7.14,3.0,FAIL
alpha3-clang17,throughput4096.FP64.mul_wide,toward_zero,common,27,27,2.5386,2.4817,-2.24,3.0,PASS
alpha3-clang17,throughput4096.FP64.quantize4,nearest_even,common,27,27,4.7222,7.2090,+52.66,3.0,FAIL
alpha3-clang17,throughput4096.FP64.quantize4,toward_zero,common,27,27,3.7438,3.0477,-18.59,3.0,PASS
alpha3-clang17,wide_by128.FP128.div,nearest_even,wide,27,27,14.2846,33.9914,+137.96,5.0,FAIL
alpha3-clang17,wide_by128.FP128.div,toward_zero,wide,27,27,12.4364,29.4511,+136.81,5.0,FAIL
alpha3-clang17,wide_by64.FP128.div,nearest_even,wide,27,27,8.0705,11.1005,+37.54,5.0,FAIL
alpha3-clang17,wide_by64.FP128.div,toward_zero,wide,27,27,6.7800,5.2389,-22.73,5.0,PASS
alpha3-clang17,wide_product.FP128.mul,nearest_even,wide,27,27,7.3633,11.0675,+50.31,5.0,FAIL
alpha3-clang17,wide_product.FP128.mul,toward_zero,wide,27,27,6.0884,5.0226,-17.51,5.0,PASS
alpha3-clang17,wide_product.FP128.mul_div,nearest_even,wide,27,27,13.3826,34.9267,+160.99,5.0,FAIL
alpha3-clang17,wide_product.FP128.mul_div,toward_zero,wide,27,27,12.6624,29.4496,+132.58,5.0,FAIL
