digits,workload,pair_index,order_slot,mode,iterations,ns_per_op,cpu_ns_per_op
12,throughput4096.FP64.mul,0,0,toward_zero,1048576,2.641839027,2.563524246
12,throughput4096.FP64.mul,0,1,nearest_even,1048576,2.749750137,2.739388466
12,throughput4096.FP64.mul,1,0,nearest_even,1048576,2.767703056,2.760769844
12,throughput4096.FP64.mul,1,1,toward_zero,1048576,2.521639824,2.515807152
12,throughput4096.FP64.mul,2,0,toward_zero,1048576,2.524392128,2.521387100
12,throughput4096.FP64.mul,2,1,nearest_even,1048576,2.724095345,2.719380379
12,throughput4096.FP64.mul,3,0,nearest_even,1048576,2.738838196,2.729775429
12,throughput4096.FP64.mul,3,1,toward_zero,1048576,2.546195984,2.539247513
12,throughput4096.FP64.mul,4,0,toward_zero,1048576,2.543252945,2.539159775
12,throughput4096.FP64.mul,4,1,nearest_even,1048576,2.723587990,2.717220306
12,throughput4096.FP64.mul,5,0,nearest_even,1048576,2.757776260,2.752915382
12,throughput4096.FP64.mul,5,1,toward_zero,1048576,2.544114113,2.537057877
12,throughput4096.FP64.mul,6,0,toward_zero,1048576,2.539460182,2.534821510
12,throughput4096.FP64.mul,6,1,nearest_even,1048576,2.720101357,2.717670441
12,throughput4096.FP64.mul,7,0,nearest_even,1048576,2.729579926,2.723757744
12,throughput4096.FP64.mul,7,1,toward_zero,1048576,2.583869934,2.579421997
12,throughput4096.FP64.mul,8,0,toward_zero,1048576,2.538179398,2.533063889
12,throughput4096.FP64.mul,8,1,nearest_even,1048576,2.730392456,2.727702141
12,throughput256.FP64.mul,0,0,toward_zero,1048576,2.562104225,2.560675621
12,throughput256.FP64.mul,0,1,nearest_even,1048576,2.754441261,2.749027252
12,throughput256.FP64.mul,1,0,nearest_even,1048576,2.756065369,2.750050545
12,throughput256.FP64.mul,1,1,toward_zero,1048576,2.538991928,2.534822464
12,throughput256.FP64.mul,2,0,toward_zero,1048576,2.508779526,2.505432129
12,throughput256.FP64.mul,2,1,nearest_even,1048576,2.767502785,2.762643814
12,throughput256.FP64.mul,3,0,nearest_even,1048576,2.777420044,2.770869255
12,throughput256.FP64.mul,3,1,toward_zero,1048576,2.532732964,2.527606964
12,throughput256.FP64.mul,4,0,toward_zero,1048576,2.535552025,2.525133133
12,throughput256.FP64.mul,4,1,nearest_even,1048576,2.742602348,2.739005089
12,throughput256.FP64.mul,5,0,nearest_even,1048576,2.748774529,2.743676186
12,throughput256.FP64.mul,5,1,toward_zero,1048576,2.539363861,2.533933640
12,throughput256.FP64.mul,6,0,toward_zero,1048576,2.551096916,2.537706375
12,throughput256.FP64.mul,6,1,nearest_even,1048576,2.757259369,2.753690720
12,throughput256.FP64.mul,7,0,nearest_even,1048576,2.765590668,2.760162354
12,throughput256.FP64.mul,7,1,toward_zero,1048576,2.549530983,2.545043945
12,throughput256.FP64.mul,8,0,toward_zero,1048576,2.549999237,2.545132637
12,throughput256.FP64.mul,8,1,nearest_even,1048576,2.785617828,2.781055450
12,exact_results.FP64.mul,0,0,toward_zero,1048576,2.533707619,2.527782440
12,exact_results.FP64.mul,0,1,nearest_even,1048576,2.593424797,2.588224411
12,exact_results.FP64.mul,1,0,nearest_even,1048576,2.593673706,2.590659142
12,exact_results.FP64.mul,1,1,toward_zero,1048576,2.532399178,2.526842117
12,exact_results.FP64.mul,2,0,toward_zero,1048576,2.563805580,2.557125092
12,exact_results.FP64.mul,2,1,nearest_even,1048576,2.691552162,2.688011169
12,exact_results.FP64.mul,3,0,nearest_even,1048576,2.698020935,2.691402435
12,exact_results.FP64.mul,3,1,toward_zero,1048576,2.549751282,2.543719292
12,exact_results.FP64.mul,4,0,toward_zero,1048576,2.569825172,2.559063911
12,exact_results.FP64.mul,4,1,nearest_even,1048576,2.545641899,2.539780617
12,exact_results.FP64.mul,5,0,nearest_even,1048576,2.542574883,2.537229538
12,exact_results.FP64.mul,5,1,toward_zero,1048576,2.641915321,2.633713722
12,exact_results.FP64.mul,6,0,toward_zero,1048576,2.618038177,2.606417656
12,exact_results.FP64.mul,6,1,nearest_even,1048576,2.628825188,2.567505836
12,exact_results.FP64.mul,7,0,nearest_even,1048576,2.540721893,2.535444260
12,exact_results.FP64.mul,7,1,toward_zero,1048576,2.622758865,2.615301132
12,exact_results.FP64.mul,8,0,toward_zero,1048576,2.615047455,2.609444618
