digits,workload,pair_index,order_slot,mode,iterations,ns_per_op,cpu_ns_per_op
12,throughput4096.FP64.mul,0,0,nearest_even,1048576,2.667675018,2.650655746
12,throughput4096.FP64.mul,0,1,toward_zero,1048576,2.682761192,2.646067619
12,throughput4096.FP64.mul,1,0,toward_zero,1048576,2.805243492,2.595732689
12,throughput4096.FP64.mul,1,1,nearest_even,1048576,2.662315369,2.646696091
12,throughput4096.FP64.mul,2,0,nearest_even,1048576,2.825556755,2.645601273
12,throughput4096.FP64.mul,2,1,toward_zero,1048576,2.798468590,2.623383522
12,throughput4096.FP64.mul,3,0,toward_zero,1048576,2.742019653,2.586933136
12,throughput4096.FP64.mul,3,1,nearest_even,1048576,2.656907082,2.624330521
12,throughput4096.FP64.mul,4,0,nearest_even,1048576,2.618353844,2.613752365
12,throughput4096.FP64.mul,4,1,toward_zero,1048576,2.787862778,2.606922150
12,throughput4096.FP64.mul,5,0,toward_zero,1048576,2.584606171,2.579883575
12,throughput4096.FP64.mul,5,1,nearest_even,1048576,2.771476746,2.632793427
12,throughput4096.FP64.mul,6,0,nearest_even,1048576,2.687166214,2.644231796
12,throughput4096.FP64.mul,6,1,toward_zero,1048576,2.696893692,2.693467140
12,throughput4096.FP64.mul,7,0,toward_zero,1048576,2.771448135,2.601790428
12,throughput4096.FP64.mul,7,1,nearest_even,1048576,2.651221275,2.647882462
12,throughput4096.FP64.mul,8,0,nearest_even,1048576,2.785838127,2.651371002
12,throughput4096.FP64.mul,8,1,toward_zero,1048576,2.865466118,2.647741318
12,throughput256.FP64.mul,0,0,nearest_even,1048576,2.626140594,2.610048294
12,throughput256.FP64.mul,0,1,toward_zero,1048576,2.708845139,2.556730270
12,throughput256.FP64.mul,1,0,toward_zero,1048576,2.579140663,2.554474831
12,throughput256.FP64.mul,1,1,nearest_even,1048576,2.833572388,2.681025505
12,throughput256.FP64.mul,2,0,nearest_even,1048576,2.625816345,2.615406036
12,throughput256.FP64.mul,2,1,toward_zero,1048576,2.719126701,2.590954781
12,throughput256.FP64.mul,3,0,toward_zero,1048576,2.593091011,2.571054459
12,throughput256.FP64.mul,3,1,nearest_even,1048576,2.680468559,2.678304672
12,throughput256.FP64.mul,4,0,nearest_even,1048576,2.756351471,2.622974396
12,throughput256.FP64.mul,4,1,toward_zero,1048576,2.619194984,2.608584404
12,throughput256.FP64.mul,5,0,toward_zero,1048576,2.808358192,2.646087646
12,throughput256.FP64.mul,5,1,nearest_even,1048576,2.740052223,2.602602959
12,throughput256.FP64.mul,6,0,nearest_even,1048576,2.733315468,2.711238861
12,throughput256.FP64.mul,6,1,toward_zero,1048576,2.779493332,2.640085220
12,throughput256.FP64.mul,7,0,toward_zero,1048576,2.655837059,2.645522118
12,throughput256.FP64.mul,7,1,nearest_even,1048576,2.732053757,2.608768463
12,throughput256.FP64.mul,8,0,nearest_even,1048576,2.667263985,2.641280174
12,throughput256.FP64.mul,8,1,toward_zero,1048576,2.554958344,2.550853729
12,exact_results.FP64.mul,0,0,nearest_even,1048576,2.867940903,2.717946053
12,exact_results.FP64.mul,0,1,toward_zero,1048576,2.585409164,2.581068039
12,exact_results.FP64.mul,1,0,toward_zero,1048576,2.699300766,2.561156273
12,exact_results.FP64.mul,1,1,nearest_even,1048576,2.621850014,2.610812187
12,exact_results.FP64.mul,2,0,nearest_even,1048576,2.906273842,2.654110909
12,exact_results.FP64.mul,2,1,toward_zero,1048576,2.648947716,2.627300262
12,exact_results.FP64.mul,3,0,toward_zero,1048576,2.629035950,2.617202759
12,exact_results.FP64.mul,3,1,nearest_even,1048576,2.844503403,2.709596634
12,exact_results.FP64.mul,4,0,nearest_even,1048576,2.717540741,2.705095291
12,exact_results.FP64.mul,4,1,toward_zero,1048576,2.819345474,2.690019608
12,exact_results.FP64.mul,5,0,toward_zero,1048576,2.736382484,2.712722778
12,exact_results.FP64.mul,5,1,nearest_even,1048576,2.616117477,2.611592293
12,exact_results.FP64.mul,6,0,nearest_even,1048576,2.804316521,2.608554840
12,exact_results.FP64.mul,6,1,toward_zero,1048576,2.705874443,2.702247620
12,exact_results.FP64.mul,7,0,toward_zero,1048576,2.801001549,2.650785446
12,exact_results.FP64.mul,7,1,nearest_even,1048576,2.652664185,2.610513687
12,exact_results.FP64.mul,8,0,nearest_even,1048576,2.751747131,2.605499268
12,exact_results.FP64.mul,8,1,toward_zero,1048576,2.836448669,2.680550575
12,halfway_ties.FP64.mul,0,0,nearest_even,1048576,2.624679565,2.619926453
12,halfway_ties.FP64.mul,0,1,toward_zero,1048576,2.734969139,2.599470139
12,halfway_ties.FP64.mul,1,0,toward_zero,1048576,2.580603600,2.557628632
12,halfway_ties.FP64.mul,1,1,nearest_even,1048576,2.743663788,2.604503632
12,halfway_ties.FP64.mul,2,0,nearest_even,1048576,2.611110687,2.587182045
12,halfway_ties.FP64.mul,2,1,toward_zero,1048576,2.605521202,2.602276802
12,halfway_ties.FP64.mul,3,0,toward_zero,1048576,2.708530426,2.576591492
12,halfway_ties.FP64.mul,3,1,nearest_even,1048576,2.587263107,2.566045761
12,halfway_ties.FP64.mul,4,0,nearest_even,1048576,2.670876503,2.544642448
12,halfway_ties.FP64.mul,4,1,toward_zero,1048576,2.787175179,2.627913475
12,halfway_ties.FP64.mul,5,0,toward_zero,1048576,2.639412880,2.621751785
12,halfway_ties.FP64.mul,5,1,nearest_even,1048576,2.767998695,2.618225098
12,halfway_ties.FP64.mul,6,0,nearest_even,1048576,2.628901482,2.617605209
12,halfway_ties.FP64.mul,6,1,toward_zero,1048576,2.749443054,2.621194839
12,halfway_ties.FP64.mul,7,0,toward_zero,1048576,2.647342682,2.559950829
12,halfway_ties.FP64.mul,7,1,nearest_even,1048576,2.638332367,2.615942001
12,halfway_ties.FP64.mul,8,0,nearest_even,1048576,2.791475296,2.622220039
12,halfway_ties.FP64.mul,8,1,toward_zero,1048576,2.633574486,2.618396759
12,exact_chain.FP64.mul,0,0,nearest_even,1048576,3.947342873,3.656235695
12,exact_chain.FP64.mul,0,1,toward_zero,1048576,3.856973648,3.701855659
12,exact_chain.FP64.mul,1,0,toward_zero,1048576,3.765230179,3.692369461
12,exact_chain.FP64.mul,1,1,nearest_even,1048576,3.844754219,3.694176674
