label,workload,mode,category,n_base,n_curr,baseline_ns,current_ns,delta_pct,limit_pct,verdict
clang-18,exact_chain.FP128.div,nearest_even,common,27,27,4.0210,3.8136,-5.16,3.0,PASS
clang-18,exact_chain.FP128.div,toward_zero,common,27,27,3.9539,3.7987,-3.92,3.0,PASS
clang-18,exact_chain.FP128.mul,nearest_even,common,27,27,3.7033,3.7763,+1.97,3.0,PASS
clang-18,exact_chain.FP128.mul,toward_zero,common,27,27,3.6779,3.6696,-0.23,3.0,PASS
clang-18,exact_chain.FP128.mul_div,nearest_even,common,27,27,3.8097,3.8165,+0.18,3.0,PASS
clang-18,exact_chain.FP128.mul_div,toward_zero,common,27,27,3.8038,3.8174,+0.36,3.0,PASS
clang-18,exact_chain.FP64.div,nearest_even,common,27,27,3.6874,3.6322,-1.50,3.0,PASS
clang-18,exact_chain.FP64.div,toward_zero,common,27,27,3.6920,3.7419,+1.35,3.0,PASS
clang-18,exact_chain.FP64.mul,nearest_even,common,27,27,3.6400,3.7034,+1.74,3.0,PASS
clang-18,exact_chain.FP64.mul,toward_zero,common,27,27,3.7033,3.7912,+2.37,3.0,PASS
clang-18,exact_chain.FP64.mul_div,nearest_even,common,27,27,3.6951,3.7015,+0.17,3.0,PASS
clang-18,exact_chain.FP64.mul_div,toward_zero,common,27,27,3.7120,3.7415,+0.79,3.0,PASS
clang-18,exact_results.FP128.div,nearest_even,common,27,27,2.4450,2.4375,-0.30,3.0,PASS
clang-18,exact_results.FP128.div,toward_zero,common,27,27,2.6344,2.4557,-6.78,3.0,PASS
clang-18,exact_results.FP128.mul,nearest_even,common,27,27,2.6405,2.5827,-2.19,3.0,PASS
clang-18,exact_results.FP128.mul,toward_zero,common,27,27,2.6691,2.6443,-0.93,3.0,PASS
clang-18,exact_results.FP128.mul_div,nearest_even,common,27,27,3.0148,3.5093,+16.40,3.0,FAIL
clang-18,exact_results.FP128.mul_div,toward_zero,common,27,27,2.9733,3.5040,+17.85,3.0,FAIL
clang-18,exact_results.FP64.div,nearest_even,common,27,27,2.5407,2.5324,-0.32,3.0,PASS
clang-18,exact_results.FP64.div,toward_zero,common,27,27,2.5604,2.5486,-0.46,3.0,PASS
clang-18,exact_results.FP64.mul,nearest_even,common,27,27,2.5511,2.5529,+0.07,3.0,PASS
clang-18,exact_results.FP64.mul,toward_zero,common,27,27,2.5313,2.5253,-0.24,3.0,PASS
clang-18,exact_results.FP64.mul_div,nearest_even,common,27,27,2.5585,2.5222,-1.42,3.0,PASS
clang-18,exact_results.FP64.mul_div,toward_zero,common,27,27,2.5705,2.4901,-3.13,3.0,PASS
clang-18,format_2digits.FP128,nearest_even,text,27,27,15.7698,21.6216,+37.11,5.0,FAIL
clang-18,format_2digits.FP128,toward_zero,text,27,27,14.4146,14.1952,-1.52,5.0,PASS
clang-18,format_2digits.FP64,nearest_even,text,27,27,16.0441,14.4674,-9.83,5.0,PASS
clang-18,format_2digits.FP64,toward_zero,text,27,27,14.7448,10.9873,-25.48,5.0,PASS
clang-18,fullrange.FP64.mul_wide,nearest_even,common,27,27,3.0028,2.5098,-16.42,3.0,PASS
clang-18,fullrange.FP64.mul_wide,toward_zero,common,27,27,2.5112,2.7537,+9.66,3.0,FAIL
clang-18,halfway_ties.FP128.div,nearest_even,common,27,27,3.1810,3.0372,-4.52,3.0,PASS
clang-18,halfway_ties.FP128.div,toward_zero,common,27,27,2.5551,2.4553,-3.91,3.0,PASS
clang-18,halfway_ties.FP128.mul,nearest_even,common,27,27,2.4813,2.8176,+13.56,3.0,FAIL
clang-18,halfway_ties.FP128.mul,toward_zero,common,27,27,2.6871,2.6433,-1.63,3.0,PASS
clang-18,halfway_ties.FP128.mul_div,nearest_even,common,27,27,4.4588,4.4925,+0.76,3.0,PASS
clang-18,halfway_ties.FP128.mul_div,toward_zero,common,27,27,2.9902,3.5012,+17.09,3.0,FAIL
clang-18,halfway_ties.FP64.div,nearest_even,common,27,27,2.3573,2.4690,+4.74,3.0,FAIL
clang-18,halfway_ties.FP64.div,toward_zero,common,27,27,2.5816,2.5681,-0.52,3.0,PASS
clang-18,halfway_ties.FP64.mul,nearest_even,common,27,27,2.6227,2.7266,+3.96,3.0,FAIL
clang-18,halfway_ties.FP64.mul,toward_zero,common,27,27,2.5344,2.5280,-0.25,3.0,PASS
clang-18,halfway_ties.FP64.mul_div,nearest_even,common,27,27,2.3560,2.4509,+4.03,3.0,FAIL
clang-18,halfway_ties.FP64.mul_div,toward_zero,common,27,27,2.5865,2.5125,-2.86,3.0,PASS
clang-18,inexact_chain.FP128.div,nearest_even,common,27,27,5.1998,4.9707,-4.41,3.0,PASS
clang-18,inexact_chain.FP128.div,toward_zero,common,27,27,4.0602,3.7958,-6.51,3.0,PASS
clang-18,inexact_chain.FP128.mul,nearest_even,common,27,27,4.6755,7.8475,+67.84,3.0,FAIL
clang-18,inexact_chain.FP128.mul,toward_zero,common,27,27,3.6788,3.7076,+0.78,3.0,PASS
clang-18,inexact_chain.FP128.mul_div,nearest_even,common,27,27,4.9038,4.8745,-0.60,3.0,PASS
clang-18,inexact_chain.FP128.mul_div,toward_zero,common,27,27,3.7959,3.8104,+0.38,3.0,PASS
clang-18,inexact_chain.FP64.div,nearest_even,common,27,27,4.7911,4.9175,+2.64,3.0,PASS
clang-18,inexact_chain.FP64.div,toward_zero,common,27,27,3.6899,3.7261,+0.98,3.0,PASS
clang-18,inexact_chain.FP64.mul,nearest_even,common,27,27,4.6904,4.6034,-1.86,3.0,PASS
clang-18,inexact_chain.FP64.mul,toward_zero,common,27,27,3.7049,3.7867,+2.21,3.0,PASS
clang-18,inexact_chain.FP64.mul_div,nearest_even,common,27,27,4.8410,4.8681,+0.56,3.0,PASS
clang-18,inexact_chain.FP64.mul_div,toward_zero,common,27,27,3.7157,3.7507,+0.94,3.0,PASS
clang-18,native_by128.FP128.div,nearest_even,wide,27,27,10.4326,11.9253,+14.31,5.0,FAIL
clang-18,native_by128.FP128.div,toward_zero,wide,27,27,8.2214,11.2020,+36.25,5.0,FAIL
clang-18,native_by64.FP128.div,nearest_even,wide,27,27,6.2866,9.5495,+51.90,5.0,FAIL
clang-18,native_by64.FP128.div,toward_zero,wide,27,27,4.0999,4.0144,-2.08,5.0,PASS
clang-18,parse_extra_digit.FP128,nearest_even,text,27,27,38.3834,35.9071,-6.45,5.0,PASS
clang-18,parse_extra_digit.FP128,toward_zero,text,27,27,37.7030,34.0633,-9.65,5.0,PASS
clang-18,parse_extra_digit.FP64,nearest_even,text,27,27,38.1379,36.2100,-5.05,5.0,PASS
clang-18,parse_extra_digit.FP64,toward_zero,text,27,27,37.5573,34.3099,-8.65,5.0,PASS
clang-18,throughput256.FP128.div,nearest_even,common,27,27,3.1826,3.0580,-3.92,3.0,PASS
clang-18,throughput256.FP128.div,toward_zero,common,27,27,2.3855,2.3581,-1.15,3.0,PASS
clang-18,throughput256.FP128.mul,nearest_even,common,27,27,2.4795,2.6033,+4.99,3.0,FAIL
clang-18,throughput256.FP128.mul,toward_zero,common,27,27,2.7049,2.6457,-2.19,3.0,PASS
clang-18,throughput256.FP128.mul_div,nearest_even,common,27,27,4.4502,4.3660,-1.89,3.0,PASS
clang-18,throughput256.FP128.mul_div,toward_zero,common,27,27,2.9668,2.9999,+1.12,3.0,PASS
clang-18,throughput256.FP64.div,nearest_even,common,27,27,2.2943,2.4497,+6.77,3.0,FAIL
clang-18,throughput256.FP64.div,toward_zero,common,27,27,2.4616,2.4581,-0.14,3.0,PASS
clang-18,throughput256.FP64.mul,nearest_even,common,27,27,2.6517,2.7427,+3.43,3.0,FAIL
clang-18,throughput256.FP64.mul,toward_zero,common,27,27,2.5536,2.5458,-0.30,3.0,PASS
clang-18,throughput256.FP64.mul_div,nearest_even,common,27,27,2.3394,2.4315,+3.94,3.0,FAIL
clang-18,throughput256.FP64.mul_div,toward_zero,common,27,27,2.5585,2.4938,-2.53,3.0,PASS
clang-18,throughput4096.FP128.div,nearest_even,common,27,27,3.1691,3.0639,-3.32,3.0,PASS
clang-18,throughput4096.FP128.div,toward_zero,common,27,27,2.3816,2.3604,-0.89,3.0,PASS
clang-18,throughput4096.FP128.mul,nearest_even,common,27,27,2.4742,2.6651,+7.71,3.0,FAIL
clang-18,throughput4096.FP128.mul,toward_zero,common,27,27,2.7018,2.6421,-2.21,3.0,PASS
clang-18,throughput4096.FP128.mul_div,nearest_even,common,27,27,4.4558,4.3703,-1.92,3.0,PASS
clang-18,throughput4096.FP128.mul_div,toward_zero,common,27,27,2.9556,3.0157,+2.03,3.0,PASS
clang-18,throughput4096.FP128.quantize4,nearest_even,common,27,27,7.2450,7.8680,+8.60,3.0,FAIL
