digits,workload,pair_index,order_slot,mode,iterations,ns_per_op,cpu_ns_per_op
12,throughput4096.FP64.mul,0,0,nearest_even,1048576,2.781398773,2.777299881
12,throughput4096.FP64.mul,0,1,toward_zero,1048576,2.575170517,2.565836906
12,throughput4096.FP64.mul,1,0,toward_zero,1048576,2.560293198,2.549184799
12,throughput4096.FP64.mul,1,1,nearest_even,1048576,2.763493538,2.759517670
12,throughput4096.FP64.mul,2,0,nearest_even,1048576,2.762480736,2.758821487
12,throughput4096.FP64.mul,2,1,toward_zero,1048576,2.557408333,2.552746773
12,throughput4096.FP64.mul,3,0,toward_zero,1048576,2.548321724,2.542342186
12,throughput4096.FP64.mul,3,1,nearest_even,1048576,2.778082848,2.773707390
12,throughput4096.FP64.mul,4,0,nearest_even,1048576,2.767592430,2.764468193
12,throughput4096.FP64.mul,4,1,toward_zero,1048576,2.563027382,2.559653282
12,throughput4096.FP64.mul,5,0,toward_zero,1048576,2.565950394,2.561567307
12,throughput4096.FP64.mul,5,1,nearest_even,1048576,2.761945724,2.757062912
12,throughput4096.FP64.mul,6,0,nearest_even,1048576,2.761391640,2.755899429
12,throughput4096.FP64.mul,6,1,toward_zero,1048576,2.546029091,2.542932510
12,throughput4096.FP64.mul,7,0,toward_zero,1048576,2.539244652,2.534945488
12,throughput4096.FP64.mul,7,1,nearest_even,1048576,2.756843567,2.752228737
12,throughput4096.FP64.mul,8,0,nearest_even,1048576,2.757245064,2.753058434
12,throughput4096.FP64.mul,8,1,toward_zero,1048576,2.542560577,2.539916039
12,throughput256.FP64.mul,0,0,nearest_even,1048576,2.751493454,2.749219894
12,throughput256.FP64.mul,0,1,toward_zero,1048576,2.540572166,2.536024094
12,throughput256.FP64.mul,1,0,toward_zero,1048576,2.551236153,2.545907021
12,throughput256.FP64.mul,1,1,nearest_even,1048576,2.746744156,2.741386414
12,throughput256.FP64.mul,2,0,nearest_even,1048576,2.751473427,2.747757912
12,throughput256.FP64.mul,2,1,toward_zero,1048576,2.535719872,2.532890320
12,throughput256.FP64.mul,3,0,toward_zero,1048576,2.557417870,2.549907684
12,throughput256.FP64.mul,3,1,nearest_even,1048576,2.747795105,2.742932320
12,throughput256.FP64.mul,4,0,nearest_even,1048576,2.748024940,2.744260788
12,throughput256.FP64.mul,4,1,toward_zero,1048576,2.533904076,2.530817986
12,throughput256.FP64.mul,5,0,toward_zero,1048576,2.552469254,2.548819542
12,throughput256.FP64.mul,5,1,nearest_even,1048576,2.745396614,2.741069794
12,throughput256.FP64.mul,6,0,nearest_even,1048576,2.749171257,2.745426178
12,throughput256.FP64.mul,6,1,toward_zero,1048576,2.529633522,2.526872635
12,throughput256.FP64.mul,7,0,toward_zero,1048576,2.543324471,2.534955025
12,throughput256.FP64.mul,7,1,nearest_even,1048576,2.744193077,2.739776611
12,throughput256.FP64.mul,8,0,nearest_even,1048576,2.748158455,2.744089127
12,throughput256.FP64.mul,8,1,toward_zero,1048576,2.545675278,2.541012764
12,exact_results.FP64.mul,0,0,nearest_even,1048576,2.578878403,2.574607849
12,exact_results.FP64.mul,0,1,toward_zero,1048576,2.539093018,2.536513329
12,exact_results.FP64.mul,1,0,toward_zero,1048576,2.532270432,2.527618408
12,exact_results.FP64.mul,1,1,nearest_even,1048576,2.569333076,2.555240631
12,exact_results.FP64.mul,2,0,nearest_even,1048576,2.557895660,2.555451393
12,exact_results.FP64.mul,2,1,toward_zero,1048576,2.529757500,2.525678635
12,exact_results.FP64.mul,3,0,toward_zero,1048576,2.531208992,2.526365280
12,exact_results.FP64.mul,3,1,nearest_even,1048576,2.558392525,2.552154541
12,exact_results.FP64.mul,4,0,nearest_even,1048576,2.558019638,2.553634644
12,exact_results.FP64.mul,4,1,toward_zero,1048576,2.529632568,2.525142670
12,exact_results.FP64.mul,5,0,toward_zero,1048576,2.527177811,2.524417877
12,exact_results.FP64.mul,5,1,nearest_even,1048576,2.555936813,2.551973343
12,exact_results.FP64.mul,6,0,nearest_even,1048576,2.561659813,2.554102898
12,exact_results.FP64.mul,6,1,toward_zero,1048576,2.528486252,2.525324821
