library,type,semantic_class,operation,iterations,repetitions,min_ns,median_ns,p95_ns,max_ns,samples
fixedwide,"Fixed64<12>",decimal_fixed,mul_nearest_even,1048576,11,2.623510,2.626311,2.628652,2.629722,"2.627353;2.624180;2.624026;2.629722;2.628107;2.628652;2.624534;2.625632;2.626311;2.627792;2.623510"
fixedwide,"Fixed64<12>",decimal_fixed,div_nearest_even,1048576,11,2.167820,2.170945,2.173849,2.185678,"2.185678;2.167820;2.169799;2.170792;2.173849;2.170276;2.169455;2.173573;2.173181;2.172579;2.170945"
fixedwide,"Fixed64<12>",decimal_fixed,mul_div_one_rounding,1048576,11,2.304376,2.307835,2.310730,2.311313,"2.307835;2.304376;2.311313;2.306421;2.309057;2.310730;2.307052;2.309382;2.306354;2.310299;2.304796"
fixedwide,"Fixed64<12>",decimal_fixed,dependent_chain_mul,1048576,11,2.033472,2.039290,2.040495,2.045444,"2.040466;2.039290;2.037066;2.038947;2.033472;2.039787;2.040171;2.040495;2.033874;2.035212;2.045444"
fixedwide,"Fixed64<12>",decimal_fixed,parse,1048576,11,12.218511,12.302830,12.335946,12.349408,"12.218511;12.315050;12.300872;12.330634;12.349408;12.301350;12.258782;12.279163;12.309289;12.335946;12.302830"
fixedwide,"Fixed64<12>",decimal_fixed,format,1048576,11,13.973474,14.097952,14.121885,14.132234,"14.104583;14.132234;14.107898;14.121885;14.100035;14.097952;13.997092;13.981938;13.985053;13.973474;13.993939"
cnl,"scaled_integer<int64,power<-6,10>>",decimal_fixed,mul_unchecked,1048576,11,0.539599,0.543756,0.548305,0.548389,"0.548389;0.548305;0.545199;0.543756;0.542303;0.543947;0.542907;0.539599;0.542782;0.540928;0.543871"
cnl,"scaled_integer<int64,power<-6,10>>",decimal_fixed,div_unchecked,1048576,11,1.087283,1.089939,1.098138,1.104386,"1.104386;1.098138;1.098127;1.089958;1.092519;1.089939;1.089557;1.089204;1.089567;1.089843;1.087283"
fpm,"fixed<int64,int128,32>",binary_fixed,mul_nearest_unchecked,1048576,11,1.349005,1.351365,1.353285,1.353534,"1.349005;1.351575;1.353534;1.350762;1.352798;1.351365;1.350409;1.352283;1.350877;1.353285;1.350591"
fpm,"fixed<int64,int128,32>",binary_fixed,div_nearest_unchecked,1048576,11,1.913495,1.944642,1.948045,1.951751,"1.913495;1.944642;1.945798;1.945808;1.944595;1.943582;1.942140;1.944288;1.945895;1.951751;1.948045"
cnl,"scaled_integer<int64,power<-32>>",binary_fixed,mul_unchecked,1048576,11,0.485530,0.487641,0.489170,0.490127,"0.487880;0.490127;0.488549;0.489170;0.485722;0.486897;0.485950;0.486992;0.485530;0.487680;0.487641"
boost.decimal,"decimal64_t",decimal_float,mul,1048576,11,3.514111,3.539699,3.544085,3.547171,"3.514111;3.547171;3.536441;3.540587;3.544085;3.536479;3.539699;3.542270;3.538457;3.539928;3.538857"
boost.decimal,"decimal64_t",decimal_float,div,1048576,11,8.587727,8.593699,8.616094,8.743382,"8.743382;8.616094;8.593650;8.588568;8.589446;8.587727;8.597711;8.594710;8.593699;8.598083;8.591873"
boost.decimal,"decimal64_t",decimal_float,parse,1048576,11,13.623036,13.668784,13.747983,13.748031,"13.623036;13.670103;13.748031;13.653087;13.679447;13.706402;13.668784;13.636604;13.659049;13.660051;13.747983"
boost.decimal,"decimal64_t",decimal_float,format,1048576,11,12.555178,12.573972,12.585074,12.592194,"12.565803;12.576543;12.562230;12.573972;12.581558;12.592194;12.555178;12.565431;12.573696;12.585074;12.582858"
boost.multiprecision,"int128_t",raw_integer,mul_unchecked,1048576,11,0.884906,0.888479,0.892406,0.901530,"0.892406;0.888527;0.888259;0.901530;0.890094;0.886368;0.886252;0.888546;0.884906;0.885001;0.888479"
std,"double",binary_float,mul,1048576,11,0.212334,0.221783,0.224745,0.228642,"0.221831;0.219671;0.221783;0.224745;0.228642;0.222499;0.223751;0.220303;0.215572;0.213815;0.212334"
std,"double",binary_float,div,1048576,11,0.733464,0.739322,0.745589,0.747271,"0.745589;0.747271;0.744165;0.739322;0.739884;0.739866;0.738738;0.735622;0.736187;0.735394;0.733464"
std,"double",binary_float,parse,1048576,11,5.129299,5.402984,5.533672,5.542529,"5.129299;5.182787;5.250845;5.166486;5.161996;5.402984;5.532564;5.531885;5.542529;5.533672;5.519177"
std,"double",binary_float,format,1048576,11,28.580880,28.647839,28.671420,28.754746,"28.754746;28.642546;28.645317;28.647839;28.580880;28.663432;28.671420;28.640606;28.649158;28.653199;28.639220"
