digits,workload,pair_index,order_slot,mode,iterations,ns_per_op,cpu_ns_per_op
12,throughput4096.FP64.mul,0,0,toward_zero,1048576,2.683067322,2.665242195
12,throughput4096.FP64.mul,0,1,nearest_even,1048576,2.514092445,2.510313988
12,throughput4096.FP64.mul,1,0,nearest_even,1048576,2.382161140,2.375479698
12,throughput4096.FP64.mul,1,1,toward_zero,1048576,2.651699066,2.645503044
12,throughput4096.FP64.mul,2,0,toward_zero,1048576,2.623694420,2.616858482
12,throughput4096.FP64.mul,2,1,nearest_even,1048576,2.384654999,2.379634857
12,throughput4096.FP64.mul,3,0,nearest_even,1048576,2.385294914,2.381126404
12,throughput4096.FP64.mul,3,1,toward_zero,1048576,2.611617088,2.605140686
12,throughput4096.FP64.mul,4,0,toward_zero,1048576,2.607345581,2.601341248
12,throughput4096.FP64.mul,4,1,nearest_even,1048576,2.376017570,2.371513367
12,throughput4096.FP64.mul,5,0,nearest_even,1048576,2.380249977,2.373798370
12,throughput4096.FP64.mul,5,1,toward_zero,1048576,2.736831665,2.730194092
12,throughput4096.FP64.mul,6,0,toward_zero,1048576,2.666260719,2.659881592
12,throughput4096.FP64.mul,6,1,nearest_even,1048576,2.368296623,2.364233017
12,throughput4096.FP64.mul,7,0,nearest_even,1048576,2.382064819,2.374925613
12,throughput4096.FP64.mul,7,1,toward_zero,1048576,2.596434593,2.593480110
12,throughput4096.FP64.mul,8,0,toward_zero,1048576,2.624946594,2.618721008
12,throughput4096.FP64.mul,8,1,nearest_even,1048576,2.379188538,2.372467995
12,throughput256.FP64.mul,0,0,toward_zero,1048576,2.684500694,2.680779457
12,throughput256.FP64.mul,0,1,nearest_even,1048576,2.372816086,2.367215157
12,throughput256.FP64.mul,1,0,nearest_even,1048576,2.368783951,2.365121841
12,throughput256.FP64.mul,1,1,toward_zero,1048576,2.610050201,2.605258942
12,throughput256.FP64.mul,2,0,toward_zero,1048576,2.632771492,2.626442909
12,throughput256.FP64.mul,2,1,nearest_even,1048576,2.363576889,2.360966682
12,throughput256.FP64.mul,3,0,nearest_even,1048576,2.372214317,2.366908073
12,throughput256.FP64.mul,3,1,toward_zero,1048576,2.651241302,2.645368576
12,throughput256.FP64.mul,4,0,toward_zero,1048576,2.594332695,2.590240479
12,throughput256.FP64.mul,4,1,nearest_even,1048576,2.374698639,2.367395401
12,throughput256.FP64.mul,5,0,nearest_even,1048576,2.367484093,2.363228798
12,throughput256.FP64.mul,5,1,toward_zero,1048576,2.595421791,2.590029716
12,throughput256.FP64.mul,6,0,toward_zero,1048576,2.637988091,2.631525040
12,throughput256.FP64.mul,6,1,nearest_even,1048576,2.368526459,2.364892960
12,throughput256.FP64.mul,7,0,nearest_even,1048576,2.373800278,2.368504524
12,throughput256.FP64.mul,7,1,toward_zero,1048576,2.596635818,2.590993881
12,throughput256.FP64.mul,8,0,toward_zero,1048576,2.605883598,2.602211952
12,throughput256.FP64.mul,8,1,nearest_even,1048576,2.365372658,2.359962463
12,exact_results.FP64.mul,0,0,toward_zero,1048576,2.655750275,2.650538445
12,exact_results.FP64.mul,0,1,nearest_even,1048576,2.594036102,2.587316513
12,exact_results.FP64.mul,1,0,nearest_even,1048576,2.596014023,2.591013908
12,exact_results.FP64.mul,1,1,toward_zero,1048576,2.641121864,2.637247086
12,exact_results.FP64.mul,2,0,toward_zero,1048576,2.584720612,2.578784943
12,exact_results.FP64.mul,2,1,nearest_even,1048576,2.593559265,2.588087082
12,exact_results.FP64.mul,3,0,nearest_even,1048576,2.600753784,2.594682693
12,exact_results.FP64.mul,3,1,toward_zero,1048576,2.585552216,2.581658363
12,exact_results.FP64.mul,4,0,toward_zero,1048576,2.586144447,2.581173897
12,exact_results.FP64.mul,4,1,nearest_even,1048576,2.633039474,2.615913391
12,exact_results.FP64.mul,5,0,nearest_even,1048576,2.655005455,2.590365410
12,exact_results.FP64.mul,5,1,toward_zero,1048576,2.671133995,2.668157578
12,exact_results.FP64.mul,6,0,toward_zero,1048576,2.600476265,2.595665932
12,exact_results.FP64.mul,6,1,nearest_even,1048576,2.586832047,2.582662582
12,exact_results.FP64.mul,7,0,nearest_even,1048576,2.595937729,2.591211319
12,exact_results.FP64.mul,7,1,toward_zero,1048576,2.600342751,2.597529411
12,exact_results.FP64.mul,8,0,toward_zero,1048576,2.618744850,2.609167099
12,exact_results.FP64.mul,8,1,nearest_even,1048576,2.620551109,2.598138809
12,halfway_ties.FP64.mul,0,0,toward_zero,1048576,2.610364914,2.607913971
12,halfway_ties.FP64.mul,0,1,nearest_even,1048576,2.394075394,2.391395569
12,halfway_ties.FP64.mul,1,0,nearest_even,1048576,2.392203331,2.390248299
12,halfway_ties.FP64.mul,1,1,toward_zero,1048576,2.720569611,2.707626343
12,halfway_ties.FP64.mul,2,0,toward_zero,1048576,2.574105263,2.569630623
