# fixedwide mixed-scale benchmark
# compiler=Clang 22.1.8 iterations=262144 repetitions=11
workload,iterations,repetitions,min_ns,median_ns,p95_ns,max_ns,samples
floor.Money.mul,262144,11,1.891521,1.898819,1.910934,1.912540,"1.908298;1.897789;1.892860;1.898819;1.891521;1.906006;1.897945;1.912540;1.899014;1.910934;1.897369"
floor.Money.div,262144,11,2.918076,2.950523,2.956409,2.970974,"2.918076;2.935123;2.940819;2.939404;2.970974;2.953236;2.952744;2.943645;2.950523;2.952515;2.956409"
floor.Money.add,262144,11,0.524094,0.548630,0.558144,0.558182,"0.524170;0.524094;0.548782;0.548630;0.552914;0.558144;0.558182;0.549549;0.539345;0.531620;0.531929"
mixed.mul_to.Money.from.Price.Rate,262144,11,2.463005,2.476460,2.600559,2.629948,"2.629948;2.600559;2.519798;2.517506;2.490334;2.469696;2.473404;2.476460;2.463005;2.470688;2.468204"
mixed.div_to.Rate.from.Price.Small,262144,11,4.104923,4.112793,4.222218,4.242245,"4.222218;4.242245;4.115585;4.113754;4.112450;4.112793;4.118912;4.111115;4.107635;4.109318;4.104923"
mixed.add_to.Money.from.Price.Rate,262144,11,0.555584,0.556465,0.564644,0.565102,"0.565102;0.556160;0.557270;0.556160;0.555584;0.556465;0.564644;0.562847;0.556389;0.556389;0.557076"
mixed.mul_div_to.Money.from.Price.Rate.Small,262144,11,4.318413,4.322540,4.329880,4.411129,"4.411129;4.322044;4.326744;4.319481;4.323689;4.322540;4.321396;4.318413;4.323532;4.320591;4.329880"
mixed.fixed_cast.Money.from.Price,262144,11,0.351345,0.351612,0.352303,0.357880,"0.351345;0.351383;0.351574;0.351917;0.351765;0.351501;0.351612;0.351498;0.351612;0.357880;0.352303"
mixed.compare.Price.vs.Rate,262144,11,0.467758,0.468945,0.473568,0.474907,"0.468216;0.473339;0.473568;0.467987;0.468143;0.467758;0.469364;0.474907;0.468410;0.468945;0.470051"
mixed.mul_to.Rate.from.Small.Small,262144,11,0.301353,0.301659,0.301929,0.309307,"0.301662;0.301620;0.301624;0.301353;0.301472;0.301697;0.309307;0.301811;0.301392;0.301929;0.301659"
wide256.Fixed256.add,262144,11,1.492786,1.508190,1.550419,1.560394,"1.550419;1.513157;1.560394;1.538189;1.508190;1.506317;1.492786;1.504593;1.526382;1.502110;1.505436"
wide256.Fixed256.mul,262144,11,28.100452,28.186710,28.242779,28.258369,"28.153305;28.237118;28.192978;28.100452;28.172337;28.240143;28.174480;28.143711;28.186710;28.242779;28.258369"
wide256.Fixed256.div,262144,11,28.167522,28.179371,28.279736,28.334347,"28.168438;28.168861;28.169090;28.198330;28.223591;28.179371;28.174099;28.167522;28.202610;28.334347;28.279736"
wide256.Fixed256.mul_div,262144,11,19.314266,19.349579,19.354015,19.361656,"19.314266;19.349579;19.324547;19.353058;19.346790;19.350037;19.353554;19.354015;19.340714;19.343235;19.361656"
wide256.Fixed256.quantize,262144,11,26.649780,26.690865,26.933823,27.000591,"26.933823;27.000591;26.723469;26.680431;26.731419;26.690865;26.669540;26.676037;26.649780;26.662544;26.804031"
