digits,workload,pair_index,order_slot,mode,iterations,ns_per_op,cpu_ns_per_op
12,throughput4096.FP64.mul,0,0,nearest_even,1048576,2.579747200,2.552375793
12,throughput4096.FP64.mul,0,1,toward_zero,1048576,2.498619080,2.495697021
12,throughput4096.FP64.mul,1,0,toward_zero,1048576,2.500682831,2.496957779
12,throughput4096.FP64.mul,1,1,nearest_even,1048576,2.559978485,2.551094055
12,throughput4096.FP64.mul,2,0,nearest_even,1048576,2.572170258,2.557075500
12,throughput4096.FP64.mul,2,1,toward_zero,1048576,2.503500938,2.496747017
12,throughput4096.FP64.mul,3,0,toward_zero,1048576,2.501418114,2.497932434
12,throughput4096.FP64.mul,3,1,nearest_even,1048576,2.559482574,2.557045937
12,throughput4096.FP64.mul,4,0,nearest_even,1048576,2.566658020,2.551199913
12,throughput4096.FP64.mul,4,1,toward_zero,1048576,2.503778458,2.499547005
12,throughput4096.FP64.mul,5,0,toward_zero,1048576,2.498781204,2.496183395
12,throughput4096.FP64.mul,5,1,nearest_even,1048576,2.556253433,2.552412987
12,throughput4096.FP64.mul,6,0,nearest_even,1048576,2.572056770,2.556473732
12,throughput4096.FP64.mul,6,1,toward_zero,1048576,2.498141289,2.495763779
12,throughput4096.FP64.mul,7,0,toward_zero,1048576,2.500892639,2.497844696
12,throughput4096.FP64.mul,7,1,nearest_even,1048576,2.554714203,2.551046371
12,throughput4096.FP64.mul,8,0,nearest_even,1048576,2.576995850,2.560715675
12,throughput4096.FP64.mul,8,1,toward_zero,1048576,2.499784470,2.497128487
12,throughput256.FP64.mul,0,0,nearest_even,1048576,2.568626404,2.565242767
12,throughput256.FP64.mul,0,1,toward_zero,1048576,2.488959312,2.486188889
12,throughput256.FP64.mul,1,0,toward_zero,1048576,2.504848480,2.488235474
12,throughput256.FP64.mul,1,1,nearest_even,1048576,2.564612389,2.561116219
12,throughput256.FP64.mul,2,0,nearest_even,1048576,2.564718246,2.562245369
12,throughput256.FP64.mul,2,1,toward_zero,1048576,2.485260963,2.481334686
12,throughput256.FP64.mul,3,0,toward_zero,1048576,2.504370689,2.488167763
12,throughput256.FP64.mul,3,1,nearest_even,1048576,2.564870834,2.561537743
12,throughput256.FP64.mul,4,0,nearest_even,1048576,2.559864044,2.555248260
12,throughput256.FP64.mul,4,1,toward_zero,1048576,2.482624054,2.479242325
12,throughput256.FP64.mul,5,0,toward_zero,1048576,2.506510735,2.489974976
12,throughput256.FP64.mul,5,1,nearest_even,1048576,2.570880890,2.566265106
12,throughput256.FP64.mul,6,0,nearest_even,1048576,2.560494423,2.558049202
12,throughput256.FP64.mul,6,1,toward_zero,1048576,2.484191895,2.479510307
12,throughput256.FP64.mul,7,0,toward_zero,1048576,2.502488136,2.485661507
12,throughput256.FP64.mul,7,1,nearest_even,1048576,2.562491417,2.559426308
12,throughput256.FP64.mul,8,0,nearest_even,1048576,2.562195778,2.557790756
12,throughput256.FP64.mul,8,1,toward_zero,1048576,2.486350060,2.481523514
12,exact_results.FP64.mul,0,0,nearest_even,1048576,2.554924965,2.536637306
12,exact_results.FP64.mul,0,1,toward_zero,1048576,2.491997719,2.486791611
12,exact_results.FP64.mul,1,0,toward_zero,1048576,2.488948822,2.486093521
12,exact_results.FP64.mul,1,1,nearest_even,1048576,2.551332474,2.546612740
12,exact_results.FP64.mul,2,0,nearest_even,1048576,2.554552078,2.536131859
12,exact_results.FP64.mul,2,1,toward_zero,1048576,2.490009308,2.487135887
12,exact_results.FP64.mul,3,0,toward_zero,1048576,2.632995605,2.627836227
12,exact_results.FP64.mul,3,1,nearest_even,1048576,2.568807602,2.563973427
12,exact_results.FP64.mul,4,0,nearest_even,1048576,2.578219414,2.561337471
12,exact_results.FP64.mul,4,1,toward_zero,1048576,2.625762939,2.620421410
12,exact_results.FP64.mul,5,0,toward_zero,1048576,2.557857513,2.552900314
12,exact_results.FP64.mul,5,1,nearest_even,1048576,2.566724777,2.563332558
12,exact_results.FP64.mul,6,0,nearest_even,1048576,2.608134270,2.589542389
12,exact_results.FP64.mul,6,1,toward_zero,1048576,2.524015427,2.519151688
12,exact_results.FP64.mul,7,0,toward_zero,1048576,2.633789062,2.628602028
12,exact_results.FP64.mul,7,1,nearest_even,1048576,2.561497688,2.558842659
12,exact_results.FP64.mul,8,0,nearest_even,1048576,2.590773582,2.574260712
12,exact_results.FP64.mul,8,1,toward_zero,1048576,2.534993172,2.530649185
12,halfway_ties.FP64.mul,0,0,nearest_even,1048576,2.524942398,2.520526886
12,halfway_ties.FP64.mul,0,1,toward_zero,1048576,2.543200493,2.537927628
12,halfway_ties.FP64.mul,1,0,toward_zero,1048576,2.623039246,2.607110977
12,halfway_ties.FP64.mul,1,1,nearest_even,1048576,2.521110535,2.517107964
12,halfway_ties.FP64.mul,2,0,nearest_even,1048576,2.522734642,2.517898560
12,halfway_ties.FP64.mul,2,1,toward_zero,1048576,2.583741188,2.580348969
12,halfway_ties.FP64.mul,3,0,toward_zero,1048576,2.609319687,2.591912270
12,halfway_ties.FP64.mul,3,1,nearest_even,1048576,2.514136314,2.510144234
12,halfway_ties.FP64.mul,4,0,nearest_even,1048576,2.518205643,2.515110016
12,halfway_ties.FP64.mul,4,1,toward_zero,1048576,2.631544113,2.626872063
12,halfway_ties.FP64.mul,5,0,toward_zero,1048576,2.532337189,2.515827179
12,halfway_ties.FP64.mul,5,1,nearest_even,1048576,2.514212608,2.511328697
12,halfway_ties.FP64.mul,6,0,nearest_even,1048576,2.524129868,2.518874168
12,halfway_ties.FP64.mul,6,1,toward_zero,1048576,2.497500420,2.492849350
12,halfway_ties.FP64.mul,7,0,toward_zero,1048576,2.603663445,2.589236259
12,halfway_ties.FP64.mul,7,1,nearest_even,1048576,2.517852783,2.512567520
12,halfway_ties.FP64.mul,8,0,nearest_even,1048576,2.522810936,2.518599510
12,halfway_ties.FP64.mul,8,1,toward_zero,1048576,2.536522865,2.533859253
12,exact_chain.FP64.mul,0,0,nearest_even,1048576,3.661643982,3.643362045
12,exact_chain.FP64.mul,0,1,toward_zero,1048576,3.653972626,3.647932053
12,exact_chain.FP64.mul,1,0,toward_zero,1048576,3.667243958,3.663056374
12,exact_chain.FP64.mul,1,1,nearest_even,1048576,3.727361679,3.709309578
12,exact_chain.FP64.mul,2,0,nearest_even,1048576,3.672479630,3.666016579
12,exact_chain.FP64.mul,2,1,toward_zero,1048576,3.677084923,3.670212746
12,exact_chain.FP64.mul,3,0,toward_zero,1048576,3.671284676,3.651072502
12,exact_chain.FP64.mul,3,1,nearest_even,1048576,3.671954155,3.666083336
12,exact_chain.FP64.mul,4,0,nearest_even,1048576,3.669355392,3.663789749
12,exact_chain.FP64.mul,4,1,toward_zero,1048576,3.678212166,3.660343170
12,exact_chain.FP64.mul,5,0,toward_zero,1048576,3.641933441,3.635891914
12,exact_chain.FP64.mul,5,1,nearest_even,1048576,3.694417000,3.674576759
12,exact_chain.FP64.mul,6,0,nearest_even,1048576,3.663354874,3.657409668
12,exact_chain.FP64.mul,6,1,toward_zero,1048576,3.674552917,3.668387413
12,exact_chain.FP64.mul,7,0,toward_zero,1048576,3.685025215,3.664507866
12,exact_chain.FP64.mul,7,1,nearest_even,1048576,3.692420006,3.686676025
12,exact_chain.FP64.mul,8,0,nearest_even,1048576,3.679244041,3.674339294
12,exact_chain.FP64.mul,8,1,toward_zero,1048576,3.660116196,3.643036842
12,inexact_chain.FP64.mul,0,0,nearest_even,1048576,4.916977882,4.908349991
12,inexact_chain.FP64.mul,0,1,toward_zero,1048576,3.664443970,3.657388687
12,inexact_chain.FP64.mul,1,0,toward_zero,1048576,3.661864281,3.643087387
12,inexact_chain.FP64.mul,1,1,nearest_even,1048576,4.941151619,4.933804512
12,inexact_chain.FP64.mul,2,0,nearest_even,1048576,4.946539879,4.926132202
12,inexact_chain.FP64.mul,2,1,toward_zero,1048576,3.638015747,3.631638527
12,inexact_chain.FP64.mul,3,0,toward_zero,1048576,3.676072121,3.656767845
12,inexact_chain.FP64.mul,3,1,nearest_even,1048576,4.901748657,4.893063545
12,inexact_chain.FP64.mul,4,0,nearest_even,1048576,4.906229019,4.887798309
12,inexact_chain.FP64.mul,4,1,toward_zero,1048576,3.696939468,3.690716743
12,inexact_chain.FP64.mul,5,0,toward_zero,1048576,3.695286751,3.689131737
12,inexact_chain.FP64.mul,5,1,nearest_even,1048576,4.923619270,4.902458191
12,inexact_chain.FP64.mul,6,0,nearest_even,1048576,4.870427132,4.861629486
12,inexact_chain.FP64.mul,6,1,toward_zero,1048576,3.699519157,3.680805206
12,inexact_chain.FP64.mul,7,0,toward_zero,1048576,3.624629974,3.618320465
12,inexact_chain.FP64.mul,7,1,nearest_even,1048576,4.923503876,4.914657593
12,inexact_chain.FP64.mul,8,0,nearest_even,1048576,4.909048080,4.888794899
12,inexact_chain.FP64.mul,8,1,toward_zero,1048576,3.651268005,3.645091057
12,throughput4096.FP64.div,0,0,toward_zero,1048576,2.488452911,2.473223686
12,throughput4096.FP64.div,0,1,nearest_even,1048576,2.453731537,2.448008537
12,throughput4096.FP64.div,1,0,nearest_even,1048576,2.468244553,2.464519501
12,throughput4096.FP64.div,1,1,toward_zero,1048576,2.498274803,2.493174553
12,throughput4096.FP64.div,2,0,toward_zero,1048576,2.496850967,2.478572845
12,throughput4096.FP64.div,2,1,nearest_even,1048576,2.451131821,2.447101593
12,throughput4096.FP64.div,3,0,nearest_even,1048576,2.472295761,2.469057083
12,throughput4096.FP64.div,3,1,toward_zero,1048576,2.491930962,2.488568306
12,throughput4096.FP64.div,4,0,toward_zero,1048576,2.482108116,2.477753639
12,throughput4096.FP64.div,4,1,nearest_even,1048576,2.482605934,2.464537621
12,throughput4096.FP64.div,5,0,nearest_even,1048576,2.472142220,2.468894958
12,throughput4096.FP64.div,5,1,toward_zero,1048576,2.498847961,2.493842125
12,throughput4096.FP64.div,6,0,toward_zero,1048576,2.480236053,2.477053642
12,throughput4096.FP64.div,6,1,nearest_even,1048576,2.483197212,2.465752602
12,throughput4096.FP64.div,7,0,nearest_even,1048576,2.472581863,2.467482567
12,throughput4096.FP64.div,7,1,toward_zero,1048576,2.507934570,2.505557060
12,throughput4096.FP64.div,8,0,toward_zero,1048576,2.498054504,2.493460655
12,throughput4096.FP64.div,8,1,nearest_even,1048576,2.466142654,2.450490952
12,throughput256.FP64.div,0,0,toward_zero,1048576,2.504513741,2.501456261
12,throughput256.FP64.div,0,1,nearest_even,1048576,2.445656776,2.441243172
12,throughput256.FP64.div,1,0,nearest_even,1048576,2.449431419,2.446536064
12,throughput256.FP64.div,1,1,toward_zero,1048576,2.535070419,2.518857956
12,throughput256.FP64.div,2,0,toward_zero,1048576,2.505842209,2.501229286
12,throughput256.FP64.div,2,1,nearest_even,1048576,2.437861443,2.435138702
12,throughput256.FP64.div,3,0,nearest_even,1048576,2.462415695,2.457494736
12,throughput256.FP64.div,3,1,toward_zero,1048576,2.528888702,2.512799263
12,throughput256.FP64.div,4,0,toward_zero,1048576,2.487840652,2.483668327
12,throughput256.FP64.div,4,1,nearest_even,1048576,2.440994263,2.435816765
12,throughput256.FP64.div,5,0,nearest_even,1048576,2.454065323,2.451306343
12,throughput256.FP64.div,5,1,toward_zero,1048576,2.535413742,2.514127731
12,throughput256.FP64.div,6,0,toward_zero,1048576,2.497213364,2.493890762
12,throughput256.FP64.div,6,1,nearest_even,1048576,2.439417839,2.435290337
12,throughput256.FP64.div,7,0,nearest_even,1048576,2.450520515,2.446061134
12,throughput256.FP64.div,7,1,toward_zero,1048576,2.530130386,2.514031410
12,throughput256.FP64.div,8,0,toward_zero,1048576,2.509281158,2.504047394
12,throughput256.FP64.div,8,1,nearest_even,1048576,2.441184998,2.438214302
12,exact_results.FP64.div,0,0,nearest_even,1048576,2.651942253,2.646678925
12,exact_results.FP64.div,0,1,toward_zero,1048576,2.676460266,2.657790184
12,exact_results.FP64.div,1,0,toward_zero,1048576,2.642521858,2.639511108
12,exact_results.FP64.div,1,1,nearest_even,1048576,2.614851952,2.608967781
12,exact_results.FP64.div,2,0,nearest_even,1048576,2.613265991,2.608554840
12,exact_results.FP64.div,2,1,toward_zero,1048576,2.644766808,2.625410080
12,exact_results.FP64.div,3,0,toward_zero,1048576,2.634486198,2.630778313
12,exact_results.FP64.div,3,1,nearest_even,1048576,2.615482330,2.610858917
12,exact_results.FP64.div,4,0,nearest_even,1048576,2.617957115,2.612806320
12,exact_results.FP64.div,4,1,toward_zero,1048576,2.636865616,2.619792938
12,exact_results.FP64.div,5,0,toward_zero,1048576,2.634371758,2.631084442
12,exact_results.FP64.div,5,1,nearest_even,1048576,2.604054451,2.599451065
12,exact_results.FP64.div,6,0,nearest_even,1048576,2.620087624,2.609884262
12,exact_results.FP64.div,6,1,toward_zero,1048576,2.630454063,2.618108749
12,exact_results.FP64.div,7,0,toward_zero,1048576,2.633502007,2.630093575
12,exact_results.FP64.div,7,1,nearest_even,1048576,2.616112709,2.609263420
12,exact_results.FP64.div,8,0,nearest_even,1048576,2.633339882,2.616199493
12,exact_results.FP64.div,8,1,toward_zero,1048576,2.636865616,2.632031441
12,halfway_ties.FP64.div,0,0,nearest_even,1048576,2.489235878,2.484166145
12,halfway_ties.FP64.div,0,1,toward_zero,1048576,2.665138245,2.659624100
12,halfway_ties.FP64.div,1,0,toward_zero,1048576,2.669829369,2.652478218
12,halfway_ties.FP64.div,1,1,nearest_even,1048576,2.476031303,2.470653534
12,halfway_ties.FP64.div,2,0,nearest_even,1048576,2.504140854,2.499020576
