label,workload,mode,category,n_base,n_curr,baseline_ns,current_ns,delta_pct,limit_pct,verdict
noise,exact_chain.FP128.div,nearest_even,common,27,27,4.0596,4.0738,+0.35,3.0,PASS
noise,exact_chain.FP128.div,toward_zero,common,27,27,4.0522,4.0699,+0.44,3.0,PASS
noise,exact_chain.FP128.mul,nearest_even,common,27,27,3.7029,3.7117,+0.24,3.0,PASS
noise,exact_chain.FP128.mul,toward_zero,common,27,27,3.6685,3.6868,+0.50,3.0,PASS
noise,exact_chain.FP128.mul_div,nearest_even,common,27,27,3.8773,3.8931,+0.41,3.0,PASS
noise,exact_chain.FP128.mul_div,toward_zero,common,27,27,3.9053,3.9100,+0.12,3.0,PASS
noise,exact_chain.FP64.div,nearest_even,common,27,27,3.8029,3.8054,+0.07,3.0,PASS
noise,exact_chain.FP64.div,toward_zero,common,27,27,3.7852,3.7974,+0.32,3.0,PASS
noise,exact_chain.FP64.mul,nearest_even,common,27,27,3.6580,3.6990,+1.12,3.0,PASS
noise,exact_chain.FP64.mul,toward_zero,common,27,27,3.6645,3.6757,+0.31,3.0,PASS
noise,exact_chain.FP64.mul_div,nearest_even,common,27,27,3.6666,3.6792,+0.34,3.0,PASS
noise,exact_chain.FP64.mul_div,toward_zero,common,27,27,3.6326,3.6423,+0.27,3.0,PASS
noise,exact_results.FP128.div,nearest_even,common,27,27,2.4546,2.4625,+0.32,3.0,PASS
noise,exact_results.FP128.div,toward_zero,common,27,27,2.6222,2.4781,-5.49,3.0,PASS
noise,exact_results.FP128.mul,nearest_even,common,27,27,2.6273,2.7122,+3.23,3.0,FAIL
noise,exact_results.FP128.mul,toward_zero,common,27,27,2.7040,2.7134,+0.35,3.0,PASS
noise,exact_results.FP128.mul_div,nearest_even,common,27,27,3.2543,3.2750,+0.64,3.0,PASS
noise,exact_results.FP128.mul_div,toward_zero,common,27,27,3.1577,3.1613,+0.11,3.0,PASS
noise,exact_results.FP64.div,nearest_even,common,27,27,2.5460,2.5336,-0.49,3.0,PASS
noise,exact_results.FP64.div,toward_zero,common,27,27,2.5205,2.5198,-0.03,3.0,PASS
noise,exact_results.FP64.mul,nearest_even,common,27,27,2.5588,2.6222,+2.48,3.0,PASS
noise,exact_results.FP64.mul,toward_zero,common,27,27,2.4974,2.6003,+4.12,3.0,FAIL
noise,exact_results.FP64.mul_div,nearest_even,common,27,27,2.5376,2.5458,+0.32,3.0,PASS
noise,exact_results.FP64.mul_div,toward_zero,common,27,27,2.5427,2.5424,-0.01,3.0,PASS
noise,format_2digits.FP128,nearest_even,text,27,27,17.2353,17.1323,-0.60,5.0,PASS
