digits,workload,pair_index,order_slot,mode,iterations,ns_per_op,cpu_ns_per_op
12,throughput4096.FP64.mul,0,0,nearest_even,1048576,2.737247467,2.732624054
12,throughput4096.FP64.mul,0,1,toward_zero,1048576,2.534133911,2.528506279
12,throughput4096.FP64.mul,1,0,toward_zero,1048576,2.523747444,2.515272141
12,throughput4096.FP64.mul,1,1,nearest_even,1048576,2.757005692,2.711886406
12,throughput4096.FP64.mul,2,0,nearest_even,1048576,2.692808151,2.684020042
12,throughput4096.FP64.mul,2,1,toward_zero,1048576,2.478678703,2.472879410
12,throughput4096.FP64.mul,3,0,toward_zero,1048576,2.470565796,2.467929840
12,throughput4096.FP64.mul,3,1,nearest_even,1048576,2.753280640,2.708506584
12,throughput4096.FP64.mul,4,0,nearest_even,1048576,2.685212135,2.680225372
12,throughput4096.FP64.mul,4,1,toward_zero,1048576,2.515176773,2.509922981
12,throughput4096.FP64.mul,5,0,toward_zero,1048576,2.510017395,2.506865501
12,throughput4096.FP64.mul,5,1,nearest_even,1048576,2.741030693,2.697307587
12,throughput4096.FP64.mul,6,0,nearest_even,1048576,2.700671196,2.695532799
12,throughput4096.FP64.mul,6,1,toward_zero,1048576,2.526079178,2.507352829
12,throughput4096.FP64.mul,7,0,toward_zero,1048576,2.508451462,2.504878044
12,throughput4096.FP64.mul,7,1,nearest_even,1048576,2.751302719,2.705390930
12,throughput4096.FP64.mul,8,0,nearest_even,1048576,2.690993309,2.685547829
12,throughput4096.FP64.mul,8,1,toward_zero,1048576,2.474942207,2.470298767
12,throughput256.FP64.mul,0,0,nearest_even,1048576,2.715873718,2.710581779
12,throughput256.FP64.mul,0,1,toward_zero,1048576,2.537229538,2.495731354
12,throughput256.FP64.mul,1,0,toward_zero,1048576,2.493277550,2.488929749
12,throughput256.FP64.mul,1,1,nearest_even,1048576,2.734504700,2.730751991
12,throughput256.FP64.mul,2,0,nearest_even,1048576,2.753719330,2.749021530
12,throughput256.FP64.mul,2,1,toward_zero,1048576,2.529662132,2.494359016
12,throughput256.FP64.mul,3,0,toward_zero,1048576,2.497501373,2.492810249
12,throughput256.FP64.mul,3,1,nearest_even,1048576,2.739300728,2.733596802
12,throughput256.FP64.mul,4,0,nearest_even,1048576,2.771109581,2.738079071
12,throughput256.FP64.mul,4,1,toward_zero,1048576,2.514947891,2.512473106
12,throughput256.FP64.mul,5,0,toward_zero,1048576,2.517345428,2.512540817
12,throughput256.FP64.mul,5,1,nearest_even,1048576,2.728667259,2.723993301
12,throughput256.FP64.mul,6,0,nearest_even,1048576,2.747996330,2.711994171
12,throughput256.FP64.mul,6,1,toward_zero,1048576,2.500663757,2.497808456
12,throughput256.FP64.mul,7,0,toward_zero,1048576,2.498590469,2.493814468
12,throughput256.FP64.mul,7,1,nearest_even,1048576,2.724224091,2.720088005
12,throughput256.FP64.mul,8,0,nearest_even,1048576,2.768577576,2.726401329
12,throughput256.FP64.mul,8,1,toward_zero,1048576,2.506797791,2.503635406
12,exact_results.FP64.mul,0,0,nearest_even,1048576,2.572916031,2.562179565
12,exact_results.FP64.mul,0,1,toward_zero,1048576,2.467498779,2.464070320
12,exact_results.FP64.mul,1,0,toward_zero,1048576,2.534935951,2.492972374
12,exact_results.FP64.mul,1,1,nearest_even,1048576,2.550749779,2.545839310
12,exact_results.FP64.mul,2,0,nearest_even,1048576,2.531124115,2.527884483
12,exact_results.FP64.mul,2,1,toward_zero,1048576,2.618062019,2.612854958
12,exact_results.FP64.mul,3,0,toward_zero,1048576,2.665127754,2.619685173
12,exact_results.FP64.mul,3,1,nearest_even,1048576,2.635260582,2.631859779
12,exact_results.FP64.mul,4,0,nearest_even,1048576,2.631706238,2.626700401
12,exact_results.FP64.mul,4,1,toward_zero,1048576,2.575457573,2.569746017
12,exact_results.FP64.mul,5,0,toward_zero,1048576,2.647232056,2.604951859
12,exact_results.FP64.mul,5,1,nearest_even,1048576,2.642942429,2.639837265
12,exact_results.FP64.mul,6,0,nearest_even,1048576,2.643544197,2.639847755
12,exact_results.FP64.mul,6,1,toward_zero,1048576,2.617994308,2.612932205
12,exact_results.FP64.mul,7,0,toward_zero,1048576,2.621119499,2.578592300
12,exact_results.FP64.mul,7,1,nearest_even,1048576,2.622438431,2.619438171
12,exact_results.FP64.mul,8,0,nearest_even,1048576,2.641672134,2.636866570
12,exact_results.FP64.mul,8,1,toward_zero,1048576,2.619830132,2.615654945
12,halfway_ties.FP64.mul,0,0,nearest_even,1048576,2.638957977,2.636169434
12,halfway_ties.FP64.mul,0,1,toward_zero,1048576,2.619112968,2.614144325
12,halfway_ties.FP64.mul,1,0,toward_zero,1048576,2.617469788,2.611611366
12,halfway_ties.FP64.mul,1,1,nearest_even,1048576,2.685212135,2.639750481
12,halfway_ties.FP64.mul,2,0,nearest_even,1048576,2.638747215,2.633921623
12,halfway_ties.FP64.mul,2,1,toward_zero,1048576,2.641184807,2.637457848
12,halfway_ties.FP64.mul,3,0,toward_zero,1048576,2.616332054,2.611288071
12,halfway_ties.FP64.mul,3,1,nearest_even,1048576,2.670680046,2.626920700
12,halfway_ties.FP64.mul,4,0,nearest_even,1048576,2.625295639,2.620089531
12,halfway_ties.FP64.mul,4,1,toward_zero,1048576,2.663685799,2.660387993
12,halfway_ties.FP64.mul,5,0,toward_zero,1048576,2.617335320,2.612175941
12,halfway_ties.FP64.mul,5,1,nearest_even,1048576,2.672399521,2.630558014
12,halfway_ties.FP64.mul,6,0,nearest_even,1048576,2.621912003,2.618274689
12,halfway_ties.FP64.mul,6,1,toward_zero,1048576,2.586101532,2.583179474
12,halfway_ties.FP64.mul,7,0,toward_zero,1048576,2.603691101,2.599020958
12,halfway_ties.FP64.mul,7,1,nearest_even,1048576,2.680760384,2.638367653
12,halfway_ties.FP64.mul,8,0,nearest_even,1048576,2.633320808,2.628354073
12,halfway_ties.FP64.mul,8,1,toward_zero,1048576,2.495656967,2.492942810
12,exact_chain.FP64.mul,0,0,nearest_even,1048576,3.648583412,3.641816139
12,exact_chain.FP64.mul,0,1,toward_zero,1048576,3.749567032,3.705919266
12,exact_chain.FP64.mul,1,0,toward_zero,1048576,3.664673805,3.658288956
12,exact_chain.FP64.mul,1,1,nearest_even,1048576,3.707220078,3.702247620
12,exact_chain.FP64.mul,2,0,nearest_even,1048576,3.743910789,3.700330734
12,exact_chain.FP64.mul,2,1,toward_zero,1048576,3.658730507,3.651896477
12,exact_chain.FP64.mul,3,0,toward_zero,1048576,3.686333656,3.644902229
12,exact_chain.FP64.mul,3,1,nearest_even,1048576,3.657679558,3.651628494
12,exact_chain.FP64.mul,4,0,nearest_even,1048576,3.691589355,3.685931206
12,exact_chain.FP64.mul,4,1,toward_zero,1048576,3.714481354,3.672694206
12,exact_chain.FP64.mul,5,0,toward_zero,1048576,3.666097641,3.659425735
12,exact_chain.FP64.mul,5,1,nearest_even,1048576,3.689935684,3.685471535
12,exact_chain.FP64.mul,6,0,nearest_even,1048576,3.721132278,3.678208351
12,exact_chain.FP64.mul,6,1,toward_zero,1048576,3.656389236,3.650347710
12,exact_chain.FP64.mul,7,0,toward_zero,1048576,3.648870468,3.643305779
12,exact_chain.FP64.mul,7,1,nearest_even,1048576,3.742267609,3.699018478
12,exact_chain.FP64.mul,8,0,nearest_even,1048576,3.692123413,3.685853004
12,exact_chain.FP64.mul,8,1,toward_zero,1048576,3.715255737,3.670298576
12,inexact_chain.FP64.mul,0,0,nearest_even,1048576,4.988294601,4.940502167
12,inexact_chain.FP64.mul,0,1,toward_zero,1048576,3.638952255,3.634259224
12,inexact_chain.FP64.mul,1,0,toward_zero,1048576,3.703579903,3.660417557
12,inexact_chain.FP64.mul,1,1,nearest_even,1048576,4.907318115,4.899523735
12,inexact_chain.FP64.mul,2,0,nearest_even,1048576,4.982360840,4.938202858
12,inexact_chain.FP64.mul,2,1,toward_zero,1048576,3.661224365,3.657006264
12,inexact_chain.FP64.mul,3,0,toward_zero,1048576,3.659208298,3.653042793
12,inexact_chain.FP64.mul,3,1,nearest_even,1048576,4.966175079,4.919081688
12,inexact_chain.FP64.mul,4,0,nearest_even,1048576,4.934387207,4.926486969
12,inexact_chain.FP64.mul,4,1,toward_zero,1048576,3.722880363,3.680156708
12,inexact_chain.FP64.mul,5,0,toward_zero,1048576,3.644140244,3.638893127
12,inexact_chain.FP64.mul,5,1,nearest_even,1048576,4.968630791,4.921783447
12,inexact_chain.FP64.mul,6,0,nearest_even,1048576,4.946788788,4.938364983
12,inexact_chain.FP64.mul,6,1,toward_zero,1048576,3.663813591,3.658173561
12,inexact_chain.FP64.mul,7,0,toward_zero,1048576,3.723988533,3.682403564
12,inexact_chain.FP64.mul,7,1,nearest_even,1048576,4.915353775,4.906824112
12,inexact_chain.FP64.mul,8,0,nearest_even,1048576,4.960289001,4.916025162
12,inexact_chain.FP64.mul,8,1,toward_zero,1048576,3.650121689,3.643928528
12,throughput4096.FP64.div,0,0,toward_zero,1048576,2.387173653,2.382806778
12,throughput4096.FP64.div,0,1,nearest_even,1048576,2.498188972,2.458633423
12,throughput4096.FP64.div,1,0,nearest_even,1048576,2.472725868,2.467040062
12,throughput4096.FP64.div,1,1,toward_zero,1048576,2.405508041,2.400512695
12,throughput4096.FP64.div,2,0,toward_zero,1048576,2.392714500,2.389561653
12,throughput4096.FP64.div,2,1,nearest_even,1048576,2.505048752,2.464540482
12,throughput4096.FP64.div,3,0,nearest_even,1048576,2.470538139,2.466247559
12,throughput4096.FP64.div,3,1,toward_zero,1048576,2.406473160,2.401534081
12,throughput4096.FP64.div,4,0,toward_zero,1048576,2.398141861,2.394568443
12,throughput4096.FP64.div,4,1,nearest_even,1048576,2.504561424,2.463821411
12,throughput4096.FP64.div,5,0,nearest_even,1048576,2.471683502,2.466859818
12,throughput4096.FP64.div,5,1,toward_zero,1048576,2.402480125,2.399422646
12,throughput4096.FP64.div,6,0,toward_zero,1048576,2.396048546,2.391055107
12,throughput4096.FP64.div,6,1,nearest_even,1048576,2.487105370,2.464641571
12,throughput4096.FP64.div,7,0,nearest_even,1048576,2.488748550,2.467567444
12,throughput4096.FP64.div,7,1,toward_zero,1048576,2.406845093,2.403311729
12,throughput4096.FP64.div,8,0,toward_zero,1048576,2.400664330,2.396622658
12,throughput4096.FP64.div,8,1,nearest_even,1048576,2.458651543,2.455957413
12,throughput256.FP64.div,0,0,toward_zero,1048576,2.500262260,2.460945129
12,throughput256.FP64.div,0,1,nearest_even,1048576,2.446364403,2.441969872
12,throughput256.FP64.div,1,0,nearest_even,1048576,2.445848465,2.442362785
12,throughput256.FP64.div,1,1,toward_zero,1048576,2.406272888,2.401334763
12,throughput256.FP64.div,2,0,toward_zero,1048576,2.443277359,2.403302193
12,throughput256.FP64.div,2,1,nearest_even,1048576,2.431239128,2.426939964
12,throughput256.FP64.div,3,0,nearest_even,1048576,2.451704979,2.448868752
12,throughput256.FP64.div,3,1,toward_zero,1048576,2.422974586,2.418024063
12,throughput256.FP64.div,4,0,toward_zero,1048576,2.466963768,2.424439430
12,throughput256.FP64.div,4,1,nearest_even,1048576,2.432434082,2.429117203
12,throughput256.FP64.div,5,0,nearest_even,1048576,2.452116013,2.447883606
12,throughput256.FP64.div,5,1,toward_zero,1048576,2.408527374,2.405517578
12,throughput256.FP64.div,6,0,toward_zero,1048576,2.450644493,2.409656525
12,throughput256.FP64.div,6,1,nearest_even,1048576,2.436733246,2.433972359
12,throughput256.FP64.div,7,0,nearest_even,1048576,2.452852249,2.448562622
12,throughput256.FP64.div,7,1,toward_zero,1048576,2.412473679,2.408759117
12,throughput256.FP64.div,8,0,toward_zero,1048576,2.449316978,2.411386490
12,throughput256.FP64.div,8,1,nearest_even,1048576,2.438978195,2.433322906
12,exact_results.FP64.div,0,0,nearest_even,1048576,2.591748238,2.587401390
12,exact_results.FP64.div,0,1,toward_zero,1048576,2.537793159,2.532021523
12,exact_results.FP64.div,1,0,toward_zero,1048576,2.571493149,2.529406548
12,exact_results.FP64.div,1,1,nearest_even,1048576,2.532528877,2.526928902
12,exact_results.FP64.div,2,0,nearest_even,1048576,2.533215523,2.528688431
12,exact_results.FP64.div,2,1,toward_zero,1048576,2.510868073,2.508192062
12,exact_results.FP64.div,3,0,toward_zero,1048576,2.558154106,2.514823914
12,exact_results.FP64.div,3,1,nearest_even,1048576,2.532307625,2.526823997
12,exact_results.FP64.div,4,0,nearest_even,1048576,2.534497261,2.530981064
12,exact_results.FP64.div,4,1,toward_zero,1048576,2.507953644,2.502279282
12,exact_results.FP64.div,5,0,toward_zero,1048576,2.561813354,2.519830704
12,exact_results.FP64.div,5,1,nearest_even,1048576,2.528533936,2.524874687
12,exact_results.FP64.div,6,0,nearest_even,1048576,2.530770302,2.525765419
12,exact_results.FP64.div,6,1,toward_zero,1048576,2.504752159,2.502126694
12,exact_results.FP64.div,7,0,toward_zero,1048576,2.557131767,2.512675285
12,exact_results.FP64.div,7,1,nearest_even,1048576,2.529708862,2.524828911
12,exact_results.FP64.div,8,0,nearest_even,1048576,2.544663429,2.541413307
12,exact_results.FP64.div,8,1,toward_zero,1048576,2.511717796,2.507114410
12,halfway_ties.FP64.div,0,0,nearest_even,1048576,2.542321205,2.500370026
12,halfway_ties.FP64.div,0,1,toward_zero,1048576,2.534305573,2.529738426
12,halfway_ties.FP64.div,1,0,toward_zero,1048576,2.524216652,2.520298958
12,halfway_ties.FP64.div,1,1,nearest_even,1048576,2.472267151,2.469190598
12,halfway_ties.FP64.div,2,0,nearest_even,1048576,2.549870491,2.505969048
12,halfway_ties.FP64.div,2,1,toward_zero,1048576,2.531124115,2.526881218
12,halfway_ties.FP64.div,3,0,toward_zero,1048576,2.516562462,2.512617111
12,halfway_ties.FP64.div,3,1,nearest_even,1048576,2.478553772,2.473567963
12,halfway_ties.FP64.div,4,0,nearest_even,1048576,2.537745476,2.493068695
12,halfway_ties.FP64.div,4,1,toward_zero,1048576,2.525820732,2.521426201
12,halfway_ties.FP64.div,5,0,toward_zero,1048576,2.516084671,2.511183739
12,halfway_ties.FP64.div,5,1,nearest_even,1048576,2.468187332,2.464930534
12,halfway_ties.FP64.div,6,0,nearest_even,1048576,2.542082787,2.499379158
12,halfway_ties.FP64.div,6,1,toward_zero,1048576,2.536885262,2.531812668
12,halfway_ties.FP64.div,7,0,toward_zero,1048576,2.516237259,2.511147499
12,halfway_ties.FP64.div,7,1,nearest_even,1048576,2.484458923,2.479549408
12,halfway_ties.FP64.div,8,0,nearest_even,1048576,2.549937248,2.503170013
12,halfway_ties.FP64.div,8,1,toward_zero,1048576,2.529060364,2.523033142
12,exact_chain.FP64.div,0,0,nearest_even,1048576,3.808863640,3.801598549
12,exact_chain.FP64.div,0,1,toward_zero,1048576,3.798515320,3.792195320
12,exact_chain.FP64.div,1,0,toward_zero,1048576,3.845601082,3.802659035
12,exact_chain.FP64.div,1,1,nearest_even,1048576,3.809742928,3.803233147
12,exact_chain.FP64.div,2,0,nearest_even,1048576,3.855938911,3.811973572
12,exact_chain.FP64.div,2,1,toward_zero,1048576,3.789084435,3.782518387
12,exact_chain.FP64.div,3,0,toward_zero,1048576,3.784049988,3.777909279
12,exact_chain.FP64.div,3,1,nearest_even,1048576,3.848323822,3.805441856
12,exact_chain.FP64.div,4,0,nearest_even,1048576,3.804544449,3.798157692
12,exact_chain.FP64.div,4,1,toward_zero,1048576,3.784479141,3.778045654
12,exact_chain.FP64.div,5,0,toward_zero,1048576,3.841216087,3.797366142
12,exact_chain.FP64.div,5,1,nearest_even,1048576,3.801018715,3.794757843
12,exact_chain.FP64.div,6,0,nearest_even,1048576,3.849823952,3.808958054
12,exact_chain.FP64.div,6,1,toward_zero,1048576,3.809484482,3.803021431
12,exact_chain.FP64.div,7,0,toward_zero,1048576,3.783648491,3.777510643
